"Time (s)","Sound pressure level (dB)"
0.000000000E0,NaN
1.391857085E-1,NaN
2.438494584E-1,-2.582500320E1
3.527180417E-1,-2.952280748E1
4.605204584E-1,-2.732524579E1
5.693303333E-1,-3.086705425E1
6.771835834E-1,-2.843680469E1
7.859843334E-1,-3.021451200E1
8.938618749E-1,-2.900786536E1
1.002288292E0,-2.725663855E1
1.110600583E0,-1.733751157E1
1.218946167E0,-2.829753566E1
1.327201875E0,-2.746425660E1
1.435550792E0,-2.896684208E1
1.538768542E0,-2.607185819E1
1.643886500E0,-2.055719579E1
1.752653333E0,-2.907601324E1
1.860518583E0,-2.921933470E1
1.968942875E0,-2.780736359E1
2.077658292E0,-2.782429785E1
2.185634292E0,-2.989724615E1
2.293986375E0,-2.759805624E1
2.402709417E0,-2.873602457E1
2.510985792E0,-2.670176630E1
2.618952500E0,-2.574439771E1
2.727271167E0,-2.629701533E1
2.836048917E0,-2.514389047E1
2.939029750E0,-1.807171915E1
3.044404042E0,-2.263768825E1
3.152712542E0,-2.408429015E1
3.260598417E0,-2.562136113E1
3.369383667E0,-2.792148656E1
3.477262750E0,-3.103828623E1
3.585671083E0,-3.003053980E1
3.693988375E0,-2.891489361E1
3.802728792E0,-2.769310121E1
3.911067250E0,-2.683140117E1
4.018788333E0,-2.751437959E1
4.127151625E0,-2.749977023E1
4.233242750E0,-2.947226582E1
4.336402208E0,-2.748261379E1
4.443799583E0,-2.978027904E1
4.553062333E0,-2.661837835E1
4.660547458E0,-1.951104760E1
4.769246750E0,-2.296949986E1
4.877161042E0,-2.765179845E1
4.985569583E0,-2.858057578E1
5.093817125E0,-2.621671987E1
5.202212250E0,-2.562018017E1
5.310482500E0,-2.438181781E1
5.418815458E0,-2.397836322E1
5.526117417E0,-2.509402761E1
5.635495375E0,-2.512143869E1
5.743976500E0,-2.484240130E1
5.854638250E0,-2.653624368E1
5.963196583E0,-2.367658746E1
6.071376583E0,-2.634164756E1
6.177178917E0,-2.666968406E1
6.288070250E0,-2.418560911E1
6.393926750E0,-2.753794613E1
6.504747958E0,-2.824685524E1
6.615246083E0,-2.468220483E1
6.721362958E0,-2.671730418E1
6.827188833E0,-2.213492280E1
6.938036333E0,-2.188333173E1
7.043826625E0,-2.601306398E1
7.154743250E0,-2.210745185E1
7.260581667E0,-2.452647013E1
7.371378375E0,-2.441019011E1
7.477239250E0,-1.889052526E1
7.588066167E0,-1.268481322E1
7.693976708E0,-2.504536453E1
7.804716833E0,-2.272056528E1
7.910626083E0,-2.359024318E1
8.021390583E0,-2.435431583E1
8.128309667E0,-2.285034499E1
8.238092792E0,-2.584229358E1
8.343876750E0,-2.272633482E1
8.454690000E0,-2.307608358E1
8.562253458E0,-2.379118340E1
8.673225667E0,-2.362265523E1
8.777235958E0,-2.034292873E1
8.888037292E0,-2.213607862E1
8.993905750E0,-2.006163996E1
9.104765083E0,-2.321909829E1
9.210536125E0,-2.257751176E1
9.321361917E0,-2.400177281E1
9.427186167E0,-2.015600476E1
9.538033000E0,-2.055943182E1
9.643872375E0,-2.246896684E1
9.754701792E0,-1.555336551E1
9.860424417E0,-2.016708209E1
9.971334042E0,-1.747091555E1
1.007727767E1,-2.313910735E1
1.018807925E1,-1.903877523E1
1.029392221E1,-1.682759435E1
1.040471296E1,-1.788126190E1
1.051056392E1,-1.884005546E1
1.062137750E1,-2.067624825E1
1.072720013E1,-2.334005456E1
1.083803658E1,-2.257856198E1
1.094925092E1,-2.148274707E1
1.105583213E1,-2.383108291E1
1.116467725E1,-2.325324923E1
1.127138679E1,-2.365286990E1
1.137838746E1,-2.433661556E1
1.148808171E1,-2.243738146E1
1.159393317E1,-2.284850142E1
1.170474046E1,-2.138792370E1
1.181060138E1,-2.161177469E1
1.192139896E1,-2.184182852E1
1.203196613E1,-2.291233702E1
1.213809208E1,-2.227907005E1
1.224389483E1,-2.439290914E1
1.235472883E1,-2.331211190E1
1.246098479E1,-2.241503653E1
1.257130913E1,-2.402269346E1
1.268130021E1,-2.188800007E1
1.279090821E1,-2.606943053E1
1.289649608E1,-2.405161854E1
1.300475692E1,-2.563652060E1
1.311058192E1,-2.404227830E1
1.322143417E1,-2.424720889E1
1.332720692E1,-2.554101542E1
1.343805308E1,-2.294660952E1
1.354387288E1,-2.327133257E1
1.365473004E1,-2.160052019E1
1.376056254E1,-2.500375282E1
1.387140292E1,-2.420357665E1
1.397719392E1,-2.347623276E1
1.408803179E1,-2.444322275E1
1.419393871E1,-2.470814792E1
1.430273396E1,-2.563183192E1
1.441069367E1,-2.373895846E1
1.452068571E1,-2.388945793E1
1.462723317E1,-2.222613603E1
1.473604300E1,-2.413490606E1
1.484388367E1,-2.473683453E1
1.495276713E1,-2.297039747E1
1.506056208E1,-2.249836164E1
1.516937575E1,-2.413755994E1
1.527725846E1,-2.202208567E1
1.538603913E1,-2.560138217E1
1.549715746E1,-2.431202375E1
1.560272137E1,-2.403622138E1
1.571371496E1,-2.211740337E1
1.581936425E1,-2.206313814E1
1.592720929E1,-2.246274640E1
1.603602608E1,-2.138286939E1
1.614390729E1,-2.486687882E1
1.625270704E1,-2.268865068E1
1.636056838E1,-2.299073761E1
1.646937308E1,-2.469299013E1
1.657722938E1,-2.348088000E1
1.668606492E1,-2.340698770E1
1.679445358E1,-2.367077048E1
1.690273196E1,-2.230750510E1
1.701060675E1,-2.472479709E1
1.711934913E1,-2.308287464E1
1.722722087E1,-2.368918927E1
1.733603229E1,-2.305818320E1
1.744389888E1,-2.187014192E1
1.755264867E1,-2.227283774E1
1.766053992E1,-2.223398573E1
1.777155408E1,-2.195667494E1
1.788254529E1,-2.216080879E1
1.799095125E1,-2.364141414E1
1.809390954E1,-2.235162626E1
1.820222833E1,-2.635910414E1
1.831059854E1,-2.346634479E1
1.841886375E1,-2.428275916E1
1.852722392E1,-2.008726858E1
1.863183267E1,-2.058016863E1
1.874222338E1,-2.116951828E1
1.884390183E1,-1.943474557E1
1.895219604E1,-1.701794504E1
1.906054087E1,-1.971864269E1
1.916885225E1,-2.006852464E1
1.927723929E1,-1.942067480E1
1.938555025E1,-2.021910361E1
1.949383529E1,-1.997579945E1
1.960226633E1,-1.860753959E1
1.971340108E1,-1.629019889E1
1.982452125E1,-2.009372113E1
1.992721213E1,-2.089386088E1
2.003196650E1,-1.987750531E1
2.013552233E1,-1.964149130E1
2.024394550E1,-1.805054421E1
2.034827783E1,-1.556947249E1
2.045942146E1,-1.800598745E1
2.056222787E1,-1.969113835E1
2.067336954E1,-1.801912084E1
2.077721325E1,-1.795378973E1
2.088244179E1,-1.765689389E1
2.099089267E1,-2.025641349E1
2.109387662E1,-1.997581580E1
2.120222171E1,-2.123189860E1
2.131053504E1,-2.396607350E1
2.141884275E1,-1.537151499E1
2.152716208E1,-1.692034536E1
2.163594629E1,-1.973368739E1
2.174387688E1,-1.684424219E1
2.185267112E1,-1.554761979E1
2.196353879E1,-1.581878500E1
2.206641888E1,-1.784458732E1
2.217309571E1,-1.695318657E1
2.227723912E1,-1.757999300E1
2.238599379E1,-1.554082699E1
2.249095183E1,-1.082503336E1
2.259386950E1,-9.501070056E0
2.270223550E1,-9.485540953E0
2.280368025E1,-9.978084813E0
2.291053517E1,-1.472559264E1
2.301885875E1,-9.980894861E0
2.312716529E1,-1.337448853E1
2.323556229E1,-2.054682386E1
2.334257046E1,-2.296304902E1
