"Time (s)","Sound pressure level (dB)"
0.000000000E0,-1.973304989E1
1.394981667E-1,NaN
2.498230417E-1,-1.897802353E1
3.577277085E-1,-1.672768025E1
4.665265833E-1,-1.687731022E1
5.743516667E-1,-1.590337698E1
6.831537918E-1,-1.741170029E1
7.915185001E-1,-1.448877035E1
8.998345418E-1,-1.734208219E1
1.007724292E0,-1.803531522E1
1.116542917E0,-1.965907018E1
1.224487958E0,-1.567785398E1
1.333143417E0,-1.342971337E1
1.441044708E0,-1.462978950E1
1.549841375E0,-1.290651525E1
1.657687875E0,-1.600829816E1
1.766475292E0,-1.346113895E1
1.869558667E0,-2.034620176E1
1.973417458E0,-1.694634065E1
2.082759458E0,-1.481232276E1
2.191524167E0,-1.554962147E1
2.299896542E0,-1.249322833E1
2.410841458E0,-1.328377115E1
2.521475375E0,-1.350990452E1
2.629032000E0,-1.539408096E1
2.737379000E0,-1.360237373E1
2.843983042E0,-1.345486550E1
2.949456542E0,-1.283747686E1
3.058240833E0,-1.560592175E1
3.166549250E0,-1.414656778E1
3.274422250E0,-1.492235092E1
3.384343875E0,-1.360822548E1
3.491084250E0,-1.290429271E1
3.599591750E0,-1.574277609E1
3.707838208E0,-1.493046063E1
3.816563083E0,-1.375508915E1
3.924478208E0,-1.589480400E1
4.035036792E0,-1.649975019E1
4.141042625E0,-1.604184152E1
4.249429333E0,-1.756438475E1
4.357748792E0,-1.879929837E1
4.466074917E0,-1.960945131E1
4.574460875E0,-1.911347926E1
4.685472333E0,-1.940399070E1
4.791461375E0,-1.706992056E1
4.899784167E0,-1.872866997E1
5.008573958E0,-1.751885502E1
5.116862625E0,-1.632412938E1
5.224857250E0,-1.733648950E1
5.332728750E0,-1.487602934E1
5.441198208E0,-1.660908235E1
5.552328292E0,-1.667944249E1
5.656039417E0,-1.732261932E1
5.757740917E0,-1.535772803E1
5.866044750E0,-1.453998492E1
5.974323875E0,-1.460727088E1
6.083135375E0,-1.314979382E1
6.191552958E0,-1.411187983E1
6.296337083E0,-1.651914460E1
6.407336417E0,-1.203768150E1
6.513689333E0,-1.346954962E1
6.624479292E0,-1.457113447E1
6.732725333E0,-1.235083512E1
6.841027375E0,-1.238840201E1
6.949373459E0,-1.511269184E1
7.058158875E0,-1.492811168E1
7.162199458E0,-1.464415742E1
7.272148500E0,-1.492020623E1
7.374546208E0,-1.562433109E1
7.485675667E0,-1.772636754E1
7.591090500E0,-1.775732042E1
7.695542208E0,-1.583087866E1
7.799392250E0,-1.801583379E1
7.907822417E0,-2.161987672E1
8.019009417E0,-1.624598004E1
8.128648500E0,-1.719360946E1
8.232740583E0,-1.717596498E1
8.341067292E0,-1.526422672E1
8.446826542E0,-1.197792874E1
8.548859917E0,-1.077797426E1
8.657707333E0,-1.493139365E1
8.766087625E0,-1.402175461E1
8.874474417E0,-1.372263939E1
8.982634458E0,-1.232169150E1
9.091103792E0,-1.472266042E1
9.199603083E0,-1.593933451E1
9.307740500E0,-1.463483516E1
9.412900667E0,-1.312475383E1
9.521483833E0,-1.473861675E1
9.624438542E0,-1.040665451E1
9.728455125E0,-1.209172601E1
9.832708750E0,-1.450068702E1
9.941025667E0,-1.556026899E1
1.004624392E1,-1.365419970E1
1.015053363E1,-1.342431389E1
1.025768042E1,-1.333083167E1
1.036607346E1,-1.452033019E1
1.047487121E1,-1.473980068E1
1.058606854E1,-1.504503930E1
1.069111192E1,-1.572152512E1
1.080226079E1,-1.743520524E1
1.090772554E1,-1.611206604E1
1.101608921E1,-1.718933705E1
1.112450104E1,-1.265735004E1
1.122617704E1,-1.768429407E1
1.133049925E1,-1.593087285E1
1.144104529E1,-1.694751426E1
1.154937621E1,-1.771174358E1
1.165776479E1,-1.663357348E1
1.176155600E1,-1.767294748E1
1.187277521E1,-1.590373925E1
1.197434488E1,-1.629195559E1
1.208273388E1,-1.398922537E1
1.219101717E1,-1.377620254E1
1.229502338E1,-1.469121813E1
1.240568175E1,-1.508271136E1
1.250771483E1,-1.477304664E1
1.261609300E1,-1.530210101E1
1.272440208E1,-1.479158454E1
1.283268204E1,-1.054275330E1
1.294100133E1,-1.184142099E1
1.304945329E1,-1.540369288E1
1.315773979E1,-1.065824862E1
1.326609771E1,-1.222019397E1
1.337438996E1,-1.522262136E1
1.348276617E1,-1.463186024E1
1.359107525E1,-1.419567626E1
1.369940917E1,-1.380233713E1
1.380778079E1,-1.480135636E1
1.391170192E1,-1.597175855E1
1.402089879E1,-1.280813187E1
1.413204542E1,-1.632449321E1
1.424116071E1,-1.564252142E1
1.434909208E1,-1.930149599E1
1.445782375E1,-1.709948273E1
1.456606479E1,-1.570721721E1
1.467439875E1,-1.519916868E1
1.478519587E1,-1.623040621E1
1.489274142E1,-1.472356154E1
1.499395042E1,-7.950997320E-1
1.509933563E1,-1.379793516E1
1.520776013E1,-1.533025585E1
1.531610479E1,-1.442111757E1
1.542438200E1,-1.486165378E1
1.553311754E1,-1.260311677E1
1.564107367E1,-1.499635495E1
1.574948117E1,-7.677810562E0
1.585768342E1,-1.449194813E1
1.596651850E1,-1.321902775E1
1.607431571E1,-1.377805346E1
1.618321496E1,-1.518599125E1
1.629104496E1,-1.535032220E1
1.639934654E1,-1.165497297E1
1.650889979E1,-1.173839910E1
1.661659450E1,-1.325244578E1
1.672447796E1,-1.273221618E1
1.683272283E1,-1.059231185E1
1.694113546E1,-1.398642607E1
1.704950558E1,-1.178144355E1
1.715773033E1,-1.219084168E1
1.726653913E1,-1.145543496E1
1.737437429E1,-1.136990507E1
1.748275396E1,-1.244251762E1
1.759103217E1,-1.237614924E1
1.769985546E1,-1.219230843E1
1.780091663E1,-1.300510601E1
1.790781417E1,-7.882799057E0
1.801613454E1,-1.153497596E1
1.812280292E1,-1.106037029E1
1.823270038E1,-1.415272064E1
1.834103888E1,-1.250441879E1
1.844741863E1,-1.255476129E1
1.855767450E1,-1.193559274E1
1.866638500E1,-1.394849966E1
1.877439442E1,-1.127536831E1
1.888361375E1,-1.324880886E1
1.899361800E1,-1.368766826E1
1.909945517E1,-1.516593376E1
1.920774179E1,-1.055170554E1
1.931618808E1,-1.333803544E1
1.942149475E1,-1.193551129E1
1.952635408E1,-1.160280108E1
1.963268863E1,-1.271694194E1
1.974103154E1,-1.288839152E1
1.984940200E1,-1.280629613E1
1.995774779E1,-1.241226877E1
2.006602625E1,-1.206970127E1
2.017480792E1,-1.343176901E1
2.028491879E1,-1.151406588E1
2.039115754E1,-1.092760780E1
2.049983604E1,-1.120216275E1
2.060811917E1,-1.361520399E1
2.071614171E1,-1.209917880E1
2.082441225E1,-1.355189332E1
2.093281392E1,-1.125480526E1
2.103880258E1,-1.304477318E1
2.114980642E1,-1.495192143E1
2.125776567E1,-1.414998380E1
2.136088021E1,-1.195755389E1
2.146603350E1,-1.159573444E1
2.157432533E1,-1.298796425E1
2.168288579E1,-1.280792942E1
2.179111629E1,-1.441494172E1
2.190186842E1,-1.860127541E1
2.200773000E1,-1.548251883E1
2.211852758E1,-1.299383251E1
2.222437317E1,-1.485547603E1
2.233521729E1,-1.319778394E1
2.244107392E1,-8.223986576E0
2.255187375E1,-1.321182128E1
2.266258042E1,-1.553979254E1
2.276854300E1,-1.464759711E1
2.287440858E1,-1.474783519E1
2.298523838E1,-1.259864488E1
2.309107167E1,-1.171010013E1
2.319942758E1,-1.146564988E1
2.330775442E1,-1.146501733E1
2.341611183E1,-9.962763314E0
2.352440421E1,-9.336115083E0
2.363315608E1,-1.018395540E1
2.374109888E1,-8.427741103E0
2.385065104E1,-8.476036015E0
2.395777038E1,-9.892987176E0
2.406611979E1,-1.116078822E1
2.417573038E1,-7.971136955E0
2.428149358E1,-6.476215672E0
2.439112596E1,-1.015458811E1
2.450131396E1,-1.134495767E1
2.460767667E1,-1.124725374E1
2.471605421E1,-1.316885244E1
2.482437963E1,-1.238163564E1
2.493270500E1,-6.060212627E0
