"Time (s)","Sound pressure level (dB)"
0.000000000E0,-2.301635660E1
1.436156665E-1,NaN
2.490003749E-1,-2.761793415E1
3.573522083E-1,-2.387271351E1
4.652209582E-1,-2.293053568E1
5.736416250E-1,-2.122968022E1
6.823698333E-1,-2.309495243E1
7.907051665E-1,-2.265287393E1
8.985532916E-1,-2.139244700E1
1.007153083E0,-2.397381952E1
1.115211792E0,-2.510936108E1
1.224118458E0,-2.235036568E1
1.331842708E0,-1.749157197E1
1.440659750E0,-1.914908276E1
1.549013292E0,-2.277914323E1
1.657388792E0,-2.267026853E1
1.765196333E0,-2.175805067E1
1.873648000E0,-2.161822360E1
1.984665667E0,-1.967474950E1
2.093723458E0,-1.908923562E1
2.198625208E0,-1.606881718E1
2.307426583E0,-1.433145008E1
2.415264417E0,-2.074947753E1
2.523981333E0,-1.872026652E1
2.631861042E0,-1.961921983E1
2.740287208E0,-2.158087004E1
2.848557583E0,-2.063680685E1
2.957373417E0,-2.053142194E1
3.065271583E0,-2.242604367E1
3.174086708E0,-2.098757316E1
3.281956375E0,-2.030103908E1
3.392692375E0,-1.951755787E1
3.499758208E0,-2.118804363E1
3.607419250E0,-2.224949032E1
3.715772542E0,-1.852274246E1
3.824051750E0,-1.967284899E1
3.932378083E0,-1.850361100E1
4.034904375E0,-2.089864071E1
4.146025083E0,-1.827295008E1
4.256935125E0,-1.822519261E1
4.365205167E0,-1.928279556E1
4.473583917E0,-1.579733028E1
4.581865417E0,-1.341691858E1
4.690266250E0,-1.878840132E1
4.798534250E0,-1.925494084E1
4.907309125E0,-1.491071565E1
5.015179125E0,-1.861939321E1
5.123596708E0,-1.442015919E1
5.231866208E0,-1.443063696E1
5.340155833E0,-1.558813391E1
5.448530333E0,-1.876794571E1
5.557339875E0,-1.374692061E1
5.665249042E0,-1.270096374E1
5.774062125E0,-1.052453302E1
5.883621667E0,-1.362084342E1
5.990759375E0,-1.693625879E1
6.098582125E0,-1.602661780E1
6.207420250E0,-1.752797544E1
6.315290083E0,-1.459275919E1
6.424118708E0,-1.443925330E1
6.531930667E0,-1.699268220E1
6.640277125E0,-1.586662183E1
6.748592042E0,-1.718889380E1
6.858492917E0,-1.734770922E1
6.965258500E0,-1.777389806E1
7.074061750E0,-1.913858506E1
7.181957167E0,-1.889450779E1
7.290736625E0,-1.696881235E1
7.398631792E0,-1.418384157E1
7.507447167E0,-1.730045285E1
7.615323042E0,-1.943824609E1
7.724110916E0,-1.643988590E1
7.831942708E0,-1.964265664E1
7.940724208E0,-1.835080584E1
8.048594625E0,-1.787667995E1
8.159428125E0,-1.655152191E1
8.265268667E0,-1.801583052E1
8.376083417E0,-1.950678899E1
8.481935500E0,-1.895246269E1
8.592797208E0,-2.049128117E1
8.698634292E0,-2.023535558E1
8.809449375E0,-2.153068400E1
8.915293250E0,-2.157914540E1
9.026159583E0,-1.624553131E1
9.131919583E0,-1.377426354E1
9.242830958E0,-2.006384963E1
9.348595167E0,-1.949331836E1
9.459574458E0,-2.162585906E1
9.570417375E0,-1.940533595E1
9.680017292E0,-2.098762389E1
9.790752667E0,-1.996497744E1
9.898611000E0,-2.213070950E1
1.000742079E1,-2.013949942E1
1.011527987E1,-2.011607926E1
1.022406404E1,-2.008392165E1
1.033190321E1,-1.947749840E1
1.044072825E1,-1.990667547E1
1.054858925E1,-1.899640863E1
1.065742071E1,-2.058967933E1
1.076525954E1,-2.172745057E1
1.087407738E1,-1.335041909E1
1.098469896E1,-1.834198406E1
1.109277750E1,-2.046051384E1
1.119861463E1,-1.857949539E1
1.130941696E1,-2.075155418E1
1.141529762E1,-2.094201794E1
1.152606000E1,-1.969787656E1
1.163194808E1,-1.658082324E1
1.174274833E1,-2.213473285E1
1.184862867E1,-2.187586234E1
1.195944183E1,-1.986123449E1
1.206526392E1,-1.955415433E1
1.217407162E1,-1.567462255E1
1.228197425E1,-1.646740145E1
1.239074900E1,-1.723682984E1
1.249859633E1,-1.560911326E1
1.260740742E1,-1.599614552E1
1.271527067E1,-1.358101873E1
1.282411000E1,-1.375335174E1
1.293193571E1,-1.471046096E1
1.304073246E1,-1.345553158E1
1.314857004E1,-1.452273687E1
1.325743429E1,-1.162476552E1
1.336523408E1,-1.291354897E1
1.347408592E1,-1.319282517E1
1.358191275E1,-1.299665865E1
1.369075375E1,-1.105237233E1
1.380090117E1,-1.051310129E1
1.390741258E1,-1.382982744E1
1.401529125E1,-1.210163324E1
1.412411392E1,-1.419084837E1
1.423192579E1,-1.584319422E1
1.434075404E1,-1.516629489E1
1.444859850E1,-1.167490200E1
1.455743567E1,-1.419762828E1
1.466525571E1,-1.612307438E1
1.477361021E1,-1.666506918E1
1.488365962E1,-1.485739413E1
1.499075571E1,-1.495895756E1
1.509861354E1,-1.533283962E1
1.520742929E1,-1.507836386E1
1.531533883E1,-1.367885595E1
1.542604592E1,-1.495587517E1
1.553552921E1,-1.377127568E1
1.564534192E1,-1.533875855E1
1.575323858E1,-1.617768331E1
1.586251400E1,-1.693181453E1
1.597363646E1,-1.637308175E1
1.608195325E1,-1.750305181E1
1.619278396E1,-1.774545780E1
1.630401550E1,-1.703821295E1
1.641221846E1,-1.642356373E1
1.651529358E1,-1.819806488E1
1.662608083E1,-1.731629126E1
1.673559342E1,-1.525118287E1
