"Time (s)","Recording (a.u.)"
0.000000000E0,2.559286915E-2
2.083333333E-5,2.496510744E-2
4.166666667E-5,2.482489869E-2
6.250000000E-5,2.436414734E-2
8.333333333E-5,2.349767834E-2
1.041666667E-4,2.329385839E-2
1.250000000E-4,2.539062873E-2
1.458333333E-4,2.987779118E-2
1.666666667E-4,3.256783634E-2
1.875000000E-4,3.070749715E-2
2.083333333E-4,2.844540402E-2
2.291666667E-4,2.949889749E-2
2.500000000E-4,3.261300921E-2
2.708333333E-4,3.508850932E-2
2.916666667E-4,3.568714112E-2
3.125000000E-4,3.620401397E-2
3.333333333E-4,3.738795966E-2
3.541666667E-4,3.711605817E-2
3.750000000E-4,3.494448587E-2
3.958333333E-4,3.234730661E-2
4.166666667E-4,3.157341108E-2
4.375000000E-4,3.377293050E-2
4.583333333E-4,3.686340153E-2
4.791666667E-4,3.811370581E-2
5.000000000E-4,3.763999790E-2
5.208333333E-4,3.788576275E-2
5.416666667E-4,3.900963813E-2
5.625000000E-4,4.134423286E-2
5.833333333E-4,4.652053863E-2
6.041666667E-4,5.074018613E-2
6.250000000E-4,5.207233503E-2
6.458333333E-4,5.482788384E-2
6.666666667E-4,6.003959104E-2
6.875000000E-4,6.580435485E-2
7.083333333E-4,6.991311908E-2
7.291666667E-4,7.173030078E-2
7.500000000E-4,7.408855855E-2
7.708333333E-4,7.697337866E-2
7.916666667E-4,7.893441617E-2
8.125000000E-4,8.181259036E-2
8.333333333E-4,8.506961912E-2
8.541666667E-4,8.686922491E-2
8.750000000E-4,8.936212212E-2
8.958333333E-4,9.352926910E-2
9.166666667E-4,9.697382897E-2
9.375000000E-4,9.957982600E-2
9.583333333E-4,1.036965400E-1
9.791666667E-4,1.088696122E-1
1.000000000E-3,1.123986468E-1
1.020833333E-3,1.139745563E-1
1.041666667E-3,1.146391779E-1
1.062500000E-3,1.151003689E-1
1.083333333E-3,1.156441718E-1
1.104166667E-3,1.151304841E-1
1.125000000E-3,1.132907420E-1
1.145833333E-3,1.118767411E-1
1.166666667E-3,1.132459342E-1
1.187500000E-3,1.179424226E-1
1.208333333E-3,1.223257706E-1
1.229166667E-3,1.230769455E-1
1.250000000E-3,1.221645400E-1
1.270833333E-3,1.229717508E-1
1.291666667E-3,1.247563213E-1
1.312500000E-3,1.260864735E-1
1.333333333E-3,1.290704906E-1
1.354166667E-3,1.341062784E-1
1.375000000E-3,1.378749609E-1
1.395833333E-3,1.384593397E-1
1.416666667E-3,1.371877342E-1
1.437500000E-3,1.364361495E-1
1.458333333E-3,1.368185878E-1
1.479166667E-3,1.368217468E-1
1.500000000E-3,1.356703639E-1
1.520833333E-3,1.347305924E-1
1.541666667E-3,1.341482997E-1
1.562500000E-3,1.322580725E-1
1.583333333E-3,1.292996109E-1
1.604166667E-3,1.282861382E-1
1.625000000E-3,1.317364872E-1
1.645833333E-3,1.362333894E-1
1.666666667E-3,1.369680464E-1
1.687500000E-3,1.361436546E-1
1.708333333E-3,1.372746378E-1
1.729166667E-3,1.395755559E-1
1.750000000E-3,1.405623406E-1
1.770833333E-3,1.399824917E-1
1.791666667E-3,1.405141503E-1
1.812500000E-3,1.417860389E-1
1.833333333E-3,1.407413036E-1
1.854166667E-3,1.376100779E-1
1.875000000E-3,1.343970597E-1
1.895833333E-3,1.322886646E-1
1.916666667E-3,1.315597594E-1
1.937500000E-3,1.312609464E-1
1.958333333E-3,1.305740476E-1
1.979166667E-3,1.297462881E-1
2.000000000E-3,1.288581192E-1
2.020833333E-3,1.278100908E-1
2.041666667E-3,1.270902753E-1
2.062500000E-3,1.263234764E-1
2.083333333E-3,1.245191917E-1
2.104166667E-3,1.222235262E-1
2.125000000E-3,1.198987812E-1
2.145833333E-3,1.169703752E-1
2.166666667E-3,1.130588353E-1
2.187500000E-3,1.077480912E-1
2.208333333E-3,1.023532152E-1
2.229166667E-3,9.882213175E-2
2.250000000E-3,9.682622552E-2
2.270833333E-3,9.505601972E-2
2.291666667E-3,9.117335081E-2
2.312500000E-3,8.515156806E-2
2.333333333E-3,8.043894172E-2
2.354166667E-3,7.740414143E-2
2.375000000E-3,7.417261600E-2
2.395833333E-3,7.059571147E-2
2.416666667E-3,6.752851605E-2
2.437500000E-3,6.455296278E-2
2.458333333E-3,6.172501296E-2
2.479166667E-3,6.152393669E-2
2.500000000E-3,6.109087914E-2
2.520833333E-3,5.526956171E-2
2.541666667E-3,4.664589092E-2
2.562500000E-3,3.963970020E-2
2.583333333E-3,3.549194336E-2
2.604166667E-3,3.223877773E-2
2.625000000E-3,2.760047466E-2
2.645833333E-3,2.331225574E-2
2.666666667E-3,1.915123686E-2
2.687500000E-3,1.282718778E-2
2.708333333E-3,6.476788316E-3
2.729166667E-3,2.908328315E-3
2.750000000E-3,2.668022411E-3
2.770833333E-3,5.470945500E-3
2.791666667E-3,8.132566698E-3
2.812500000E-3,7.168474607E-3
2.833333333E-3,4.895539489E-3
2.854166667E-3,4.851597361E-3
2.875000000E-3,5.390222184E-3
2.895833333E-3,3.607627936E-3
2.916666667E-3,5.796866026E-4
2.937500000E-3,-1.355569810E-3
2.958333333E-3,-5.283504725E-3
2.979166667E-3,-1.459899917E-2
3.000000000E-3,-2.448561601E-2
3.020833333E-3,-2.937265113E-2
3.041666667E-3,-3.014137596E-2
3.062500000E-3,-3.155926242E-2
3.083333333E-3,-3.642523661E-2
3.104166667E-3,-4.052734002E-2
3.125000000E-3,-4.003227130E-2
3.145833333E-3,-3.781265765E-2
3.166666667E-3,-3.577999771E-2
3.187500000E-3,-3.327944875E-2
3.208333333E-3,-3.183443844E-2
3.229166667E-3,-3.191470355E-2
3.250000000E-3,-3.150430694E-2
3.270833333E-3,-3.111791797E-2
3.291666667E-3,-3.195077926E-2
3.312500000E-3,-3.344856203E-2
3.333333333E-3,-3.709968179E-2
3.354166667E-3,-4.309530929E-2
3.375000000E-3,-4.859853536E-2
3.395833333E-3,-5.215044320E-2
3.416666667E-3,-5.236878991E-2
3.437500000E-3,-5.043475702E-2
3.458333333E-3,-5.027376115E-2
3.479166667E-3,-5.074116588E-2
3.500000000E-3,-4.850254580E-2
3.520833333E-3,-4.386373609E-2
3.541666667E-3,-3.860763088E-2
3.562500000E-3,-3.449166566E-2
3.583333333E-3,-3.239364922E-2
3.604166667E-3,-3.169627860E-2
3.625000000E-3,-3.246980533E-2
3.645833333E-3,-3.495909274E-2
3.666666667E-3,-3.712266311E-2
3.687500000E-3,-3.809613734E-2
3.708333333E-3,-3.924376518E-2
3.729166667E-3,-3.982537985E-2
3.750000000E-3,-3.965837881E-2
3.770833333E-3,-4.019083083E-2
3.791666667E-3,-3.968634456E-2
3.812500000E-3,-3.674111888E-2
3.833333333E-3,-3.382004425E-2
3.854166667E-3,-3.180401400E-2
