"Time (s)","Peak-Frequency"
2.571502917E-1,4.687500000E1
2.998169583E-1,7.031250000E1
3.547099583E-1,4.687500000E1
3.973766250E-1,9.375000000E1
4.611747083E-1,4.687500000E1
5.038413750E-1,4.687500000E1
5.465080417E-1,7.031250000E1
5.891747083E-1,7.031250000E1
6.318413750E-1,7.031250000E1
6.745080417E-1,1.875000000E2
7.171747083E-1,4.687500000E1
7.598413750E-1,7.031250000E1
8.076435417E-1,1.875000000E2
8.503102083E-1,7.031250000E1
8.986870000E-1,1.875000000E2
1.005832000E0,1.875000000E2
1.048498667E0,1.406250000E2
1.091165333E0,7.031250000E1
1.133832000E0,4.687500000E1
1.176498667E0,4.687500000E1
1.219165333E0,4.687500000E1
1.261832000E0,4.687500000E1
1.304498667E0,4.687500000E1
1.347165333E0,7.031250000E1
1.389832000E0,7.031250000E1
1.432498667E0,7.031250000E1
1.475165333E0,4.687500000E1
1.517832000E0,7.031250000E1
1.560498667E0,1.171875000E2
1.603165333E0,4.687500000E1
1.645832000E0,7.031250000E1
1.688498667E0,7.031250000E1
1.731165333E0,9.375000000E1
1.773832000E0,4.687500000E1
1.816498667E0,7.031250000E1
1.859165333E0,4.687500000E1
1.901832000E0,7.031250000E1
1.944498667E0,4.687500000E1
1.987165333E0,7.031250000E1
2.029832000E0,1.406250000E2
2.072498667E0,7.031250000E1
2.115165333E0,7.031250000E1
2.170217083E0,7.031250000E1
2.212883750E0,4.687500000E1
2.255550417E0,4.687500000E1
2.298217083E0,7.031250000E1
2.340883750E0,7.031250000E1
2.383550417E0,4.687500000E1
2.426217083E0,7.031250000E1
2.468883750E0,7.031250000E1
2.511550417E0,4.687500000E1
2.554217083E0,1.875000000E2
2.596883750E0,4.687500000E1
2.639550417E0,1.875000000E2
2.682217083E0,7.031250000E1
2.724883750E0,7.031250000E1
2.767550417E0,1.875000000E2
2.810217083E0,4.687500000E1
2.852883750E0,7.031250000E1
2.895550417E0,7.031250000E1
2.938217083E0,4.687500000E1
2.980883750E0,7.031250000E1
3.023550417E0,4.687500000E1
3.066217083E0,1.875000000E2
3.108883750E0,7.031250000E1
3.151550417E0,9.375000000E1
3.194217083E0,7.031250000E1
3.236883750E0,4.687500000E1
3.279550417E0,4.687500000E1
3.322217083E0,7.031250000E1
3.364883750E0,4.687500000E1
3.407550417E0,4.687500000E1
3.450217083E0,7.031250000E1
3.492883750E0,7.031250000E1
3.535550417E0,4.687500000E1
3.578217083E0,2.109375000E2
3.620883750E0,4.687500000E1
3.663550417E0,1.875000000E2
3.706217083E0,4.687500000E1
3.748883750E0,7.031250000E1
3.791550417E0,4.687500000E1
3.834217083E0,9.375000000E1
3.876883750E0,7.031250000E1
3.919550417E0,7.031250000E1
3.962217083E0,7.031250000E1
4.004883750E0,9.375000000E1
4.053371625E0,7.031250000E1
4.096038292E0,7.031250000E1
4.138704958E0,4.687500000E1
4.181371625E0,7.031250000E1
4.224038292E0,4.687500000E1
4.266704958E0,9.375000000E1
4.309371625E0,9.375000000E1
4.352038292E0,7.031250000E1
4.402392000E0,9.375000000E1
4.445058667E0,1.171875000E2
4.487725333E0,7.031250000E1
4.530392000E0,4.687500000E1
4.573058667E0,7.031250000E1
4.615725333E0,4.687500000E1
4.658392000E0,1.171875000E2
4.701058667E0,9.375000000E1
4.743725333E0,7.031250000E1
4.786392000E0,4.687500000E1
4.829058667E0,4.687500000E1
4.871725333E0,7.031250000E1
4.914392000E0,7.031250000E1
4.957058667E0,9.375000000E1
4.999725333E0,7.031250000E1
5.042392000E0,1.875000000E2
5.085058667E0,7.031250000E1
5.127725333E0,4.687500000E1
5.170392000E0,7.031250000E1
5.213058667E0,4.687500000E1
5.255725333E0,7.031250000E1
5.298392000E0,7.031250000E1
5.341058667E0,4.687500000E1
5.383725333E0,1.171875000E2
5.426392000E0,7.031250000E1
5.469058667E0,7.031250000E1
5.511725333E0,4.687500000E1
5.554392000E0,7.031250000E1
5.597058667E0,4.687500000E1
5.639725333E0,7.031250000E1
5.682392000E0,9.375000000E1
5.725058667E0,7.031250000E1
5.767725333E0,7.031250000E1
5.810392000E0,7.031250000E1
5.853058667E0,9.375000000E1
5.895725333E0,7.031250000E1
5.938392000E0,1.875000000E2
5.981058667E0,4.687500000E1
6.023725333E0,7.031250000E1
6.066392000E0,1.875000000E2
6.109058667E0,7.031250000E1
6.151725333E0,7.031250000E1
6.194392000E0,4.687500000E1
6.237058667E0,7.031250000E1
6.279725333E0,7.031250000E1
6.322392000E0,7.031250000E1
6.365058667E0,7.031250000E1
6.407725333E0,7.031250000E1
6.450392000E0,7.031250000E1
6.493058667E0,7.031250000E1
6.535725333E0,7.031250000E1
6.578392000E0,7.031250000E1
6.621058667E0,4.687500000E1
6.663725333E0,7.031250000E1
6.706392000E0,7.031250000E1
6.749058667E0,7.031250000E1
6.791725333E0,7.031250000E1
6.834392000E0,7.031250000E1
6.877058667E0,7.031250000E1
6.919725333E0,4.687500000E1
6.962392000E0,4.687500000E1
7.005058667E0,4.687500000E1
7.047725333E0,7.031250000E1
7.090392000E0,7.031250000E1
