"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,1.569162329E1
4.687500000E1,7.321055980E1
7.031250000E1,2.663386733E1
9.375000000E1,2.895458480E1
1.171875000E2,1.293375106E1
1.406250000E2,1.005553229E1
1.640625000E2,9.389764376E0
1.875000000E2,1.433406245E1
2.109375000E2,6.076175504E0
2.343750000E2,3.800023629E0
2.578125000E2,1.499203162E0
2.812500000E2,4.275100074E0
3.046875000E2,4.925427389E0
3.281250000E2,9.551826727E0
3.515625000E2,2.272918482E0
3.750000000E2,9.090401545E0
3.984375000E2,3.510869072E0
4.218750000E2,2.184624684E0
4.453125000E2,2.361510282E0
4.687500000E2,1.144580314E0
4.921875000E2,6.032896008E-1
5.156250000E2,1.102563920E0
5.390625000E2,4.795631710E-1
5.625000000E2,1.253337370E0
5.859375000E2,6.413634691E-1
6.093750000E2,1.911434969E0
6.328125000E2,1.369827764E0
6.562500000E2,9.112091274E-1
6.796875000E2,8.569948764E-1
7.031250000E2,6.134563234E-1
7.265625000E2,3.449846207E-1
7.500000000E2,8.720956616E-1
7.734375000E2,4.119525461E-1
7.968750000E2,1.151662465E0
8.203125000E2,1.299500347E0
8.437500000E2,7.996254837E-1
8.671875000E2,1.513831926E0
8.906250000E2,1.712887052E0
9.140625000E2,1.439098834E-1
9.375000000E2,4.690630551E-1
9.609375000E2,5.638546295E-1
9.843750000E2,1.172400897E-1
1.007812500E3,1.513828263E-1
1.031250000E3,4.573431515E-1
1.054687500E3,1.355272516E-1
1.078125000E3,3.531561680E-1
1.101562500E3,6.461362820E-1
1.125000000E3,2.757711942E-1
1.148437500E3,1.745390061E-1
1.171875000E3,4.422412838E-1
1.195312500E3,2.082856823E-1
1.218750000E3,3.519641101E-1
1.242187500E3,5.884235757E-1
1.265625000E3,2.123222443E-1
1.289062500E3,5.442102940E-1
1.312500000E3,4.331801157E-1
1.335937500E3,3.656818606E-1
1.359375000E3,5.203859893E-1
1.382812500E3,7.979203320E-1
1.406250000E3,3.114697023E-1
1.429687500E3,7.618497574E-1
1.453125000E3,6.732410222E-1
1.476562500E3,3.309859043E-1
1.500000000E3,1.388304659E-1
1.523437500E3,3.237887687E-1
1.546875000E3,4.049082376E-1
1.570312500E3,2.010407774E-1
1.593750000E3,4.590192941E-1
1.617187500E3,1.582298751E-1
1.640625000E3,3.199450897E-1
1.664062500E3,2.835202510E-1
1.687500000E3,6.321445816E-1
1.710937500E3,1.017910146E-1
1.734375000E3,1.748362687E-1
1.757812500E3,2.852371949E-1
1.781250000E3,5.420209865E-1
1.804687500E3,1.600053063E-1
1.828125000E3,3.526248548E-1
1.851562500E3,2.900079956E-1
1.875000000E3,2.837258216E-1
1.898437500E3,3.430495633E-1
1.921875000E3,1.440924580E-1
1.945312500E3,6.139278489E-1
1.968750000E3,5.663778896E-1
1.992187500E3,5.344035851E-2
2.015625000E3,2.390493409E-1
2.039062500E3,3.085572311E-1
2.062500000E3,1.290110746E-1
2.085937500E3,2.055603754E-1
2.109375000E3,2.871902367E-1
2.132812500E3,3.753321274E-1
2.156250000E3,3.356579886E-1
2.179687500E3,3.033926124E-1
2.203125000E3,6.029346037E-1
2.226562500E3,6.457424100E-1
2.250000000E3,9.196131384E-1
2.273437500E3,7.863486995E-1
2.296875000E3,2.755141747E-1
2.320312500E3,5.447917144E-1
2.343750000E3,4.167011696E-1
2.367187500E3,1.089003593E0
2.390625000E3,1.102898579E0
2.414062500E3,3.291677685E-1
2.437500000E3,3.293485135E-1
2.460937500E3,8.602842992E-1
2.484375000E3,8.239530124E-1
2.507812500E3,7.436321599E-1
2.531250000E3,7.345798485E-1
2.554687500E3,3.626114157E-1
2.578125000E3,6.091171220E-1
2.601562500E3,7.099763964E-1
2.625000000E3,2.957854781E-1
2.648437500E3,8.892837068E-1
2.671875000E3,6.455018253E-1
2.695312500E3,8.254220435E-1
2.718750000E3,8.203992934E-1
2.742187500E3,8.670500633E-1
2.765625000E3,1.216004232E0
2.789062500E3,7.277493079E-1
2.812500000E3,3.422900844E-1
2.835937500E3,5.072231306E-1
2.859375000E3,9.575374513E-1
2.882812500E3,5.978772178E-1
2.906250000E3,6.418750227E-1
2.929687500E3,1.342528457E-1
2.953125000E3,7.848812773E-1
2.976562500E3,4.280749476E-1
3.000000000E3,4.286655435E-1
3.023437500E3,3.465010098E-1
3.046875000E3,6.869492592E-1
3.070312500E3,7.240092439E-1
3.093750000E3,8.584670046E-1
3.117187500E3,9.987579582E-1
3.140625000E3,8.062885214E-1
3.164062500E3,2.840398936E-1
3.187500000E3,2.906322900E-1
3.210937500E3,9.104015617E-1
3.234375000E3,5.982340129E-1
3.257812500E3,6.174470349E-1
3.281250000E3,5.922402706E-1
3.304687500E3,6.360206009E-1
3.328125000E3,9.081512743E-1
3.351562500E3,1.939613358E-1
3.375000000E3,1.575133496E0
3.398437500E3,1.273248254E0
3.421875000E3,1.073616573E0
3.445312500E3,1.412734153E0
3.468750000E3,7.586554474E-1
3.492187500E3,6.497531736E-1
3.515625000E3,4.056597806E-1
3.539062500E3,1.144658652E0
3.562500000E3,7.996848013E-1
3.585937500E3,1.217209219E0
3.609375000E3,3.128845268E0
3.632812500E3,1.889385382E0
3.656250000E3,1.956883867E0
3.679687500E3,1.009206481E0
3.703125000E3,3.557101034E-1
3.726562500E3,2.617905932E-1
3.750000000E3,1.138000027E0
3.773437500E3,2.870353647E-1
3.796875000E3,2.417595441E-1
3.820312500E3,2.821528048E-1
3.843750000E3,6.077940251E-1
3.867187500E3,1.731351814E0
3.890625000E3,2.016629721E0
3.914062500E3,1.379404454E0
3.937500000E3,2.186229994E0
3.960937500E3,1.580753340E0
3.984375000E3,2.669550099E0
4.007812500E3,6.026243725E-1
4.031250000E3,8.823404693E-1
4.054687500E3,2.392991517E0
4.078125000E3,4.059175822E-1
4.101562500E3,1.385002351E0
4.125000000E3,1.151424011E0
4.148437500E3,5.363741145E-1
4.171875000E3,1.372717661E0
4.195312500E3,9.532815186E-1
4.218750000E3,1.015046778E0
4.242187500E3,8.537290871E-1
4.265625000E3,1.950830048E0
4.289062500E3,2.941214423E-1
4.312500000E3,7.272931653E-1
4.335937500E3,3.127453506E0
4.359375000E3,1.451218544E0
4.382812500E3,1.139839525E0
4.406250000E3,1.077276806E0
4.429687500E3,7.324781535E-1
4.453125000E3,1.337496680E0
4.476562500E3,2.101225180E0
4.500000000E3,2.095633297E-1
4.523437500E3,1.393289494E0
4.546875000E3,6.955021821E-1
4.570312500E3,7.455292808E-1
4.593750000E3,1.051626595E0
4.617187500E3,1.239303052E0
4.640625000E3,5.179251777E-1
4.664062500E3,6.952277989E-1
4.687500000E3,3.016550443E0
4.710937500E3,1.514956190E0
4.734375000E3,1.256926428E0
4.757812500E3,1.298498587E0
4.781250000E3,1.048639635E0
4.804687500E3,1.170575065E0
4.828125000E3,1.218901679E0
4.851562500E3,1.357379654E0
4.875000000E3,3.502021901E-1
4.898437500E3,5.072813795E-1
4.921875000E3,1.308479511E0
4.945312500E3,9.943044823E-1
4.968750000E3,1.806051464E0
4.992187500E3,1.748906952E0
5.015625000E3,7.043263297E-1
5.039062500E3,5.049861724E-1
5.062500000E3,6.009848093E-1
5.085937500E3,7.815992212E-1
5.109375000E3,1.067459037E0
5.132812500E3,1.314221089E0
5.156250000E3,6.428012821E-1
5.179687500E3,5.108742173E-1
5.203125000E3,1.574670588E0
5.226562500E3,1.389368460E0
5.250000000E3,7.992575729E-1
5.273437500E3,8.219185366E-1
5.296875000E3,9.045161714E-1
5.320312500E3,6.608249598E-1
5.343750000E3,6.516614661E-1
5.367187500E3,1.096452021E-1
5.390625000E3,7.912292379E-1
5.414062500E3,1.791695023E0
5.437500000E3,1.171522978E0
5.460937500E3,2.373280297E0
5.484375000E3,1.148911377E0
5.507812500E3,1.002040833E0
5.531250000E3,3.965453394E-1
5.554687500E3,3.134755690E-1
5.578125000E3,5.687769646E-1
5.601562500E3,1.182783321E0
5.625000000E3,6.678526664E-1
5.648437500E3,3.967903270E-1
5.671875000E3,1.081585628E0
5.695312500E3,2.317552480E0
5.718750000E3,2.099446365E0
5.742187500E3,7.510700935E-1
5.765625000E3,4.273507496E-1
5.789062500E3,1.502624457E0
5.812500000E3,2.440982815E0
5.835937500E3,2.311700358E0
5.859375000E3,6.777029478E-1
5.882812500E3,5.468789967E-1
5.906250000E3,6.673294813E-1
5.929687500E3,1.138813817E0
5.953125000E3,1.063323167E0
5.976562500E3,6.966081678E-1
6.000000000E3,9.949376136E-1
6.023437500E3,1.209496154E0
6.046875000E3,1.735261216E-1
6.070312500E3,7.081901511E-1
6.093750000E3,4.823890415E-1
6.117187500E3,3.042203901E-1
6.140625000E3,4.811176462E-1
6.164062500E3,1.407372338E0
6.187500000E3,1.757540667E0
6.210937500E3,1.082021094E0
6.234375000E3,4.140440837E-1
6.257812500E3,3.629185249E-1
6.281250000E3,3.624940149E-1
6.304687500E3,4.346186987E-1
6.328125000E3,3.389067496E-1
6.351562500E3,1.175011617E0
6.375000000E3,1.826834419E0
6.398437500E3,1.275752806E0
6.421875000E3,4.110870996E-1
6.445312500E3,6.523729954E-2
6.468750000E3,7.984418901E-1
6.492187500E3,7.410269201E-1
6.515625000E3,1.023355029E0
6.539062500E3,6.046643212E-1
6.562500000E3,7.231180002E-1
6.585937500E3,5.386284578E-1
6.609375000E3,4.960748260E-1
6.632812500E3,2.324602396E-1
6.656250000E3,7.987747446E-2
6.679687500E3,1.749658139E-1
6.703125000E3,1.914994427E-1
6.726562500E3,2.883458677E-1
6.750000000E3,1.227898245E-1
6.773437500E3,1.302132061E-1
6.796875000E3,5.621873776E-2
6.820312500E3,2.072035794E-1
6.843750000E3,4.329159760E-1
6.867187500E3,1.810130296E-1
6.890625000E3,5.871561506E-2
6.914062500E3,2.678498019E-1
6.937500000E3,1.692747475E-1
6.960937500E3,3.446923413E-1
6.984375000E3,3.583116452E-1
7.007812500E3,4.526379455E-1
7.031250000E3,1.097617650E-1
7.054687500E3,1.457905352E-1
7.078125000E3,1.275085518E-1
7.101562500E3,1.889145959E-1
7.125000000E3,2.441642349E-1
7.148437500E3,3.365586989E-1
7.171875000E3,4.476116553E-1
7.195312500E3,1.810150391E-1
7.218750000E3,2.529155960E-1
7.242187500E3,1.539101605E-1
7.265625000E3,9.305243156E-2
