"Time (s)","Peak-Frequency"
0.000000000E0,0.000000000E0
1.595360000E-1,2.109375000E2
2.127175000E-1,7.031250000E1
2.553841667E-1,9.375000000E1
2.980508334E-1,7.031250000E1
4.390362084E-1,2.343750000E1
4.817028750E-1,7.031250000E1
5.243695417E-1,4.687500000E1
5.670362084E-1,4.687500000E1
6.097028750E-1,1.171875000E2
6.523695417E-1,1.406250000E2
7.310139167E-1,1.171875000E2
7.736805833E-1,1.640625000E2
8.163472500E-1,4.687500000E1
8.590139167E-1,1.406250000E2
9.016805833E-1,1.171875000E2
9.443472500E-1,4.687500000E1
9.870139167E-1,4.687500000E1
1.092930083E0,4.687500000E1
1.135596750E0,4.687500000E1
1.178263417E0,4.687500000E1
1.220930083E0,4.687500000E1
1.263596750E0,1.875000000E2
1.306263417E0,4.687500000E1
1.348930083E0,1.875000000E2
1.391596750E0,1.875000000E2
1.434263417E0,1.875000000E2
1.476930083E0,1.406250000E2
1.519596750E0,1.875000000E2
1.562263417E0,1.875000000E2
1.604930083E0,1.875000000E2
1.647596750E0,1.875000000E2
1.722015750E0,1.875000000E2
1.764682417E0,1.875000000E2
1.807349083E0,1.875000000E2
1.850015750E0,2.109375000E2
1.892682417E0,2.109375000E2
1.935349083E0,2.109375000E2
1.978015750E0,2.109375000E2
2.020682417E0,2.109375000E2
2.063349083E0,2.109375000E2
2.106015750E0,2.109375000E2
2.148682417E0,2.109375000E2
2.191349083E0,2.109375000E2
2.234015750E0,2.109375000E2
2.276682417E0,2.109375000E2
2.319349083E0,2.109375000E2
2.362015750E0,2.109375000E2
2.404682417E0,2.109375000E2
2.447349083E0,2.109375000E2
2.490015750E0,2.109375000E2
2.532682417E0,2.109375000E2
2.626708875E0,2.109375000E2
2.669375542E0,2.109375000E2
2.738784833E0,2.109375000E2
2.876228250E0,2.109375000E2
2.918894917E0,1.875000000E2
2.997819958E0,1.640625000E2
3.137419542E0,2.109375000E2
3.180086208E0,1.875000000E2
3.222752875E0,4.687500000E1
3.265419542E0,1.640625000E2
3.308086208E0,1.406250000E2
3.350752875E0,9.375000000E1
3.426065708E0,9.375000000E1
3.468732375E0,2.343750000E2
3.511399042E0,2.343750000E2
3.554065708E0,9.375000000E1
3.596732375E0,2.343750000E2
3.639399042E0,2.343750000E2
3.682065708E0,2.343750000E2
3.746390792E0,4.687500000E1
3.851361250E0,1.875000000E2
3.991403167E0,4.687500000E1
4.034069833E0,4.687500000E1
4.076736500E0,9.375000000E1
4.119403167E0,9.375000000E1
4.162069833E0,4.687500000E1
4.204736500E0,3.984375000E2
4.247403167E0,3.984375000E2
4.290069833E0,3.984375000E2
4.421929833E0,4.687500000E1
4.515056042E0,2.578125000E2
4.557722708E0,2.578125000E2
4.600389375E0,2.578125000E2
4.643056042E0,2.578125000E2
4.685722708E0,2.578125000E2
4.728389375E0,2.578125000E2
4.771056042E0,4.687500000E1
4.813722708E0,2.578125000E2
4.856389375E0,4.687500000E1
4.899056042E0,4.687500000E1
4.941722708E0,7.031250000E1
4.984389375E0,9.375000000E1
5.027056042E0,4.687500000E1
5.069722708E0,4.687500000E1
5.112389375E0,7.031250000E1
5.155056042E0,2.812500000E2
5.197722708E0,7.031250000E1
5.240389375E0,4.687500000E1
5.283056042E0,4.687500000E1
5.325722708E0,4.687500000E1
5.368389375E0,2.812500000E2
5.411056042E0,2.812500000E2
5.453722708E0,2.812500000E2
5.496389375E0,2.812500000E2
5.539056042E0,4.687500000E1
5.581722708E0,2.812500000E2
5.624389375E0,4.687500000E1
5.667056042E0,2.812500000E2
5.709722708E0,4.687500000E1
5.752389375E0,1.640625000E2
5.795056042E0,7.031250000E1
5.837722708E0,2.109375000E2
5.880389375E0,1.640625000E2
5.923056042E0,4.687500000E1
5.965722708E0,7.031250000E1
6.008389375E0,4.687500000E1
6.051056042E0,4.687500000E1
6.093722708E0,1.171875000E2
6.136389375E0,9.375000000E1
6.179056042E0,1.406250000E2
6.221722708E0,1.640625000E2
6.264389375E0,4.687500000E1
6.307056042E0,4.687500000E1
6.349722708E0,1.640625000E2
6.392389375E0,4.687500000E1
6.435056042E0,9.375000000E1
6.477722708E0,4.687500000E1
6.520389375E0,4.687500000E1
6.563056042E0,4.687500000E1
6.605722708E0,4.687500000E1
6.648389375E0,7.031250000E1
6.691056042E0,7.031250000E1
6.733722708E0,1.875000000E2
6.776389375E0,4.687500000E1
6.819056042E0,4.687500000E1
6.861722708E0,4.687500000E1
6.904389375E0,4.687500000E1
6.947056042E0,4.687500000E1
6.989722708E0,4.687500000E1
7.032389375E0,4.687500000E1
7.075056042E0,4.687500000E1
7.117722708E0,4.687500000E1
7.160389375E0,4.687500000E1
7.203056042E0,9.375000000E1
7.245722708E0,4.687500000E1
7.288389375E0,4.687500000E1
7.331056042E0,4.687500000E1
7.373722708E0,2.343750000E2
7.416389375E0,4.687500000E1
7.459056042E0,4.687500000E1
7.501722708E0,9.375000000E1
7.544389375E0,9.375000000E1
7.587056042E0,9.375000000E1
7.629722708E0,4.687500000E1
7.672389375E0,4.687500000E1
7.715056042E0,1.171875000E2
7.757722708E0,4.687500000E1
7.800389375E0,4.687500000E1
7.843056042E0,4.687500000E1
7.885722708E0,4.687500000E1
7.928389375E0,4.687500000E1
7.971056042E0,4.687500000E1
8.013722708E0,4.687500000E1
8.056389375E0,4.687500000E1
8.099056042E0,4.687500000E1
8.141722708E0,4.687500000E1
8.184389375E0,4.687500000E1
8.227056042E0,9.375000000E1
8.269722708E0,4.687500000E1
8.312389375E0,4.687500000E1
8.355056042E0,4.687500000E1
8.397722708E0,4.687500000E1
8.440389375E0,4.687500000E1
8.483056042E0,4.687500000E1
8.525722708E0,9.375000000E1
8.568389375E0,4.687500000E1
8.611056042E0,4.687500000E1
8.653722708E0,4.687500000E1
8.696389375E0,4.687500000E1
8.739056042E0,1.640625000E2
8.781722708E0,4.687500000E1
8.824389375E0,4.687500000E1
8.867056042E0,4.687500000E1
8.909722708E0,4.687500000E1
8.952389375E0,4.687500000E1
8.995056042E0,4.687500000E1
9.037722708E0,4.687500000E1
9.080389375E0,7.031250000E1
9.123056042E0,4.687500000E1
9.165722708E0,4.687500000E1
9.208389375E0,4.687500000E1
9.251056042E0,4.687500000E1
9.293722708E0,4.687500000E1
9.336389375E0,4.687500000E1
9.379056042E0,4.687500000E1
9.421722708E0,4.687500000E1
9.464389375E0,4.687500000E1
9.507056042E0,4.687500000E1
9.549722708E0,1.171875000E2
9.592389375E0,9.375000000E1
9.635056042E0,1.171875000E2
9.677722708E0,4.687500000E1
9.720389375E0,4.687500000E1
9.763056042E0,4.687500000E1
9.805722708E0,4.687500000E1
9.848389375E0,4.687500000E1
9.891056042E0,7.031250000E1
9.933722708E0,4.687500000E1
9.976389375E0,2.109375000E2
1.001905604E1,9.375000000E1
1.006172271E1,9.375000000E1
1.010438938E1,4.687500000E1
1.014705604E1,4.687500000E1
1.018972271E1,1.406250000E2
1.023238938E1,1.640625000E2
1.027505604E1,4.687500000E1
1.031772271E1,4.687500000E1
1.036038938E1,1.406250000E2
1.040305604E1,1.406250000E2
1.045332838E1,2.343750000E2
1.049599504E1,7.031250000E1
1.053866171E1,4.687500000E1
1.064401313E1,1.171875000E2
1.071531188E1,1.875000000E2
1.075797854E1,9.375000000E1
1.080064521E1,4.687500000E1
1.084331188E1,4.687500000E1
1.088597854E1,2.343750000E2
1.092864521E1,4.687500000E1
1.097131188E1,4.687500000E1
1.101397854E1,4.687500000E1
1.105664521E1,4.687500000E1
1.109931188E1,1.406250000E2
1.114197854E1,7.031250000E1
1.118464521E1,1.171875000E2
1.122731188E1,1.406250000E2
1.126997854E1,1.171875000E2
1.131264521E1,1.640625000E2
1.135531188E1,9.375000000E1
1.139797854E1,7.031250000E1
1.144064521E1,1.171875000E2
1.148331188E1,4.687500000E1
1.152597854E1,1.875000000E2
1.156864521E1,7.031250000E1
1.161131188E1,4.687500000E1
1.165397854E1,4.687500000E1
1.169664521E1,1.171875000E2
1.173931188E1,1.640625000E2
1.178197854E1,4.687500000E1
1.182464521E1,1.171875000E2
1.186731188E1,4.687500000E1
1.190997854E1,4.687500000E1
1.195264521E1,4.687500000E1
1.199531188E1,9.375000000E1
1.203797854E1,4.687500000E1
1.208064521E1,4.687500000E1
1.212331188E1,9.375000000E1
1.216597854E1,4.687500000E1
1.220864521E1,7.031250000E1
1.225131188E1,9.375000000E1
1.229397854E1,4.687500000E1
1.233664521E1,4.687500000E1
1.239917900E1,9.375000000E1
1.244184567E1,4.687500000E1
1.248451233E1,4.687500000E1
