"Time (s)","Recording (a.u.)"
0.000000000E0,-2.534656227E-2
2.083333333E-5,-2.509101853E-2
4.166666667E-5,-2.140839770E-2
6.250000000E-5,-1.834909804E-2
8.333333333E-5,-2.142480388E-2
1.041666667E-4,-2.887704410E-2
1.250000000E-4,-3.235178441E-2
1.458333333E-4,-2.773971483E-2
1.666666667E-4,-2.151632495E-2
1.875000000E-4,-2.311310545E-2
2.083333333E-4,-3.241430968E-2
2.291666667E-4,-4.032528400E-2
2.500000000E-4,-4.279846698E-2
2.708333333E-4,-4.471415654E-2
2.916666667E-4,-4.893773422E-2
3.125000000E-4,-5.084975436E-2
3.333333333E-4,-4.583217949E-2
3.541666667E-4,-3.746496141E-2
3.750000000E-4,-3.406183422E-2
3.958333333E-4,-3.904394433E-2
4.166666667E-4,-4.746596143E-2
4.375000000E-4,-5.220459402E-2
4.583333333E-4,-5.408352613E-2
4.791666667E-4,-6.021861732E-2
5.000000000E-4,-7.067654282E-2
5.208333333E-4,-7.686023414E-2
5.416666667E-4,-7.486060262E-2
5.625000000E-4,-7.070365548E-2
5.833333333E-4,-7.009658217E-2
6.041666667E-4,-7.089449465E-2
6.250000000E-4,-6.840948761E-2
6.458333333E-4,-6.249477342E-2
6.666666667E-4,-5.756288022E-2
6.875000000E-4,-5.691583082E-2
7.083333333E-4,-5.734580010E-2
7.291666667E-4,-5.296052992E-2
7.500000000E-4,-4.483795166E-2
7.708333333E-4,-4.085535556E-2
7.916666667E-4,-4.447496682E-2
8.125000000E-4,-4.988781363E-2
8.333333333E-4,-5.187235773E-2
8.541666667E-4,-5.318117887E-2
8.750000000E-4,-5.803765357E-2
8.958333333E-4,-6.561553478E-2
9.166666667E-4,-7.107907534E-2
9.375000000E-4,-7.101173699E-2
9.583333333E-4,-6.844593585E-2
9.791666667E-4,-6.847776473E-2
1.000000000E-3,-6.979268789E-2
1.020833333E-3,-6.618633121E-2
1.041666667E-3,-5.688376725E-2
1.062500000E-3,-4.931097105E-2
1.083333333E-3,-4.834992439E-2
1.104166667E-3,-5.082559213E-2
1.125000000E-3,-5.272290111E-2
1.145833333E-3,-5.479422212E-2
1.166666667E-3,-5.998489261E-2
1.187500000E-3,-6.800556183E-2
1.208333333E-3,-7.468164712E-2
1.229166667E-3,-7.669574767E-2
1.250000000E-3,-7.659745216E-2
1.270833333E-3,-8.084501326E-2
1.291666667E-3,-9.009666741E-2
1.312500000E-3,-9.735145420E-2
1.333333333E-3,-9.795385599E-2
1.354166667E-3,-9.471124411E-2
1.375000000E-3,-9.208939970E-2
1.395833333E-3,-9.001225233E-2
1.416666667E-3,-8.559586108E-2
1.437500000E-3,-7.892033458E-2
1.458333333E-3,-7.442349195E-2
1.479166667E-3,-7.519845665E-2
1.500000000E-3,-7.777630538E-2
1.520833333E-3,-7.678209245E-2
1.541666667E-3,-7.346107066E-2
1.562500000E-3,-7.397823036E-2
1.583333333E-3,-7.947805524E-2
1.604166667E-3,-8.488471061E-2
1.625000000E-3,-8.765120804E-2
1.645833333E-3,-9.036226571E-2
1.666666667E-3,-9.459538013E-2
1.687500000E-3,-9.783551097E-2
1.708333333E-3,-9.763996303E-2
1.729166667E-3,-9.471662343E-2
1.750000000E-3,-9.181144834E-2
1.770833333E-3,-9.083078802E-2
1.791666667E-3,-8.972764760E-2
1.812500000E-3,-8.616986871E-2
1.833333333E-3,-8.242397010E-2
1.854166667E-3,-8.180882037E-2
1.875000000E-3,-8.382456005E-2
1.895833333E-3,-8.496046811E-2
1.916666667E-3,-8.421616256E-2
1.937500000E-3,-8.338671923E-2
1.958333333E-3,-8.258512616E-2
1.979166667E-3,-8.141803741E-2
2.000000000E-3,-8.023823053E-2
2.020833333E-3,-8.012967557E-2
2.041666667E-3,-8.249848336E-2
2.062500000E-3,-8.625254035E-2
2.083333333E-3,-8.897058666E-2
2.104166667E-3,-8.876398206E-2
2.125000000E-3,-8.518519253E-2
2.145833333E-3,-8.058449626E-2
2.166666667E-3,-7.738593221E-2
2.187500000E-3,-7.621309906E-2
2.208333333E-3,-7.692907751E-2
2.229166667E-3,-7.912301272E-2
2.250000000E-3,-8.201892674E-2
2.270833333E-3,-8.425480127E-2
2.291666667E-3,-8.515104651E-2
2.312500000E-3,-8.560638130E-2
2.333333333E-3,-8.727389574E-2
2.354166667E-3,-9.099469334E-2
2.375000000E-3,-9.537054598E-2
2.395833333E-3,-9.826789796E-2
2.416666667E-3,-9.935422242E-2
2.437500000E-3,-9.957057238E-2
2.458333333E-3,-9.901954979E-2
2.479166667E-3,-9.731829166E-2
2.500000000E-3,-9.583295137E-2
2.520833333E-3,-9.695836902E-2
2.541666667E-3,-1.011005566E-1
2.562500000E-3,-1.063318476E-1
2.583333333E-3,-1.111120135E-1
2.604166667E-3,-1.155886650E-1
2.625000000E-3,-1.197006553E-1
2.645833333E-3,-1.228831410E-1
2.666666667E-3,-1.257221401E-1
2.687500000E-3,-1.290766299E-1
2.708333333E-3,-1.330381036E-1
2.729166667E-3,-1.371449977E-1
2.750000000E-3,-1.403686553E-1
