"Time (s)","Peak-Frequency"
2.199230417E-1,4.687500000E1
2.625897083E-1,4.687500000E1
3.183752917E-1,4.687500000E1
3.762839167E-1,4.687500000E1
4.328250417E-1,4.687500000E1
4.754917083E-1,4.687500000E1
5.181583750E-1,4.687500000E1
5.608250417E-1,4.687500000E1
6.034917083E-1,4.687500000E1
6.461583750E-1,4.687500000E1
7.016487083E-1,4.687500000E1
7.443153750E-1,7.031250000E1
7.869820417E-1,7.031250000E1
8.296487083E-1,4.687500000E1
8.984745833E-1,4.687500000E1
9.701341667E-1,4.687500000E1
1.012800833E0,4.687500000E1
1.055467500E0,4.687500000E1
1.098134167E0,4.687500000E1
1.199880000E0,4.687500000E1
1.242546667E0,4.687500000E1
1.285213333E0,4.687500000E1
1.327880000E0,4.687500000E1
1.370546667E0,4.687500000E1
1.413213333E0,4.687500000E1
1.455880000E0,4.687500000E1
1.498546667E0,4.687500000E1
1.541213333E0,4.687500000E1
1.583880000E0,4.687500000E1
1.626546667E0,4.687500000E1
1.669213333E0,4.687500000E1
1.711880000E0,4.687500000E1
1.754546667E0,4.687500000E1
1.797213333E0,4.687500000E1
1.839880000E0,4.687500000E1
1.882546667E0,4.687500000E1
1.925213333E0,4.687500000E1
1.967880000E0,4.687500000E1
2.010546667E0,4.687500000E1
2.053213333E0,4.687500000E1
2.095880000E0,7.031250000E1
2.138546667E0,4.687500000E1
2.181213333E0,4.687500000E1
2.251557167E0,4.687500000E1
2.294223833E0,4.687500000E1
2.336890500E0,1.640625000E2
2.379557167E0,1.640625000E2
2.422223833E0,7.031250000E1
2.464890500E0,4.687500000E1
2.507557167E0,1.640625000E2
2.550223833E0,7.031250000E1
2.592890500E0,4.687500000E1
2.635557167E0,1.640625000E2
2.678223833E0,1.640625000E2
2.720890500E0,7.031250000E1
2.763557167E0,7.031250000E1
2.806223833E0,9.375000000E1
2.848890500E0,4.687500000E1
2.891557167E0,4.687500000E1
2.934223833E0,4.687500000E1
2.976890500E0,7.031250000E1
3.019557167E0,7.031250000E1
3.062223833E0,4.687500000E1
3.104890500E0,4.687500000E1
3.147557167E0,7.031250000E1
3.190223833E0,4.687500000E1
3.232890500E0,4.687500000E1
3.275557167E0,4.687500000E1
3.318223833E0,4.687500000E1
3.360890500E0,4.687500000E1
3.403557167E0,7.031250000E1
3.446223833E0,4.687500000E1
3.488890500E0,4.687500000E1
3.531557167E0,4.687500000E1
3.574223833E0,4.687500000E1
3.616890500E0,4.687500000E1
3.659557167E0,4.687500000E1
3.702223833E0,4.687500000E1
3.744890500E0,4.687500000E1
3.787557167E0,4.687500000E1
3.830223833E0,4.687500000E1
3.872890500E0,4.687500000E1
3.915557167E0,4.687500000E1
3.958223833E0,4.687500000E1
4.024774000E0,4.687500000E1
4.163063958E0,4.687500000E1
4.205730625E0,4.687500000E1
4.321221250E0,4.687500000E1
4.388940667E0,4.687500000E1
4.431607333E0,4.687500000E1
4.474274000E0,4.687500000E1
4.516940667E0,4.687500000E1
4.559607333E0,4.687500000E1
4.602274000E0,4.687500000E1
4.644940667E0,4.687500000E1
4.687607333E0,4.687500000E1
4.730274000E0,4.687500000E1
4.796337792E0,4.687500000E1
4.839004458E0,4.687500000E1
4.900949375E0,4.687500000E1
4.943616042E0,4.687500000E1
4.986282708E0,4.687500000E1
5.087799458E0,4.687500000E1
5.130466125E0,4.687500000E1
5.247432958E0,4.687500000E1
5.318244375E0,4.687500000E1
5.360911042E0,4.687500000E1
5.403577708E0,4.687500000E1
5.446244375E0,4.687500000E1
5.488911042E0,4.687500000E1
5.531577708E0,4.687500000E1
5.574244375E0,4.687500000E1
5.616911042E0,4.687500000E1
5.659577708E0,4.687500000E1
5.702244375E0,4.687500000E1
5.744911042E0,4.687500000E1
5.787577708E0,4.687500000E1
5.830244375E0,4.687500000E1
5.872911042E0,4.687500000E1
5.915577708E0,4.687500000E1
5.958244375E0,4.687500000E1
6.017136417E0,4.687500000E1
6.115518250E0,4.687500000E1
6.158184917E0,7.031250000E1
6.200851583E0,7.031250000E1
6.298357625E0,4.687500000E1
6.341024292E0,7.031250000E1
6.383690958E0,4.687500000E1
6.426357625E0,4.687500000E1
6.469024292E0,7.031250000E1
6.511690958E0,7.031250000E1
6.566787417E0,4.687500000E1
6.609454083E0,4.687500000E1
6.711326208E0,4.687500000E1
6.753992875E0,7.031250000E1
6.852702083E0,7.031250000E1
6.895368750E0,7.031250000E1
6.938035417E0,4.687500000E1
6.980702083E0,4.687500000E1
7.023368750E0,2.343750000E1
7.066035417E0,4.687500000E1
7.136817792E0,4.687500000E1
7.179484458E0,4.687500000E1
7.250312792E0,7.031250000E1
7.292979458E0,4.687500000E1
7.335646125E0,2.109375000E2
7.395147625E0,4.687500000E1
7.437814292E0,4.687500000E1
7.480480958E0,4.687500000E1
7.523147625E0,4.687500000E1
7.617762875E0,4.687500000E1
7.672414750E0,4.687500000E1
7.715081417E0,4.687500000E1
7.757748083E0,4.687500000E1
7.800414750E0,4.687500000E1
7.843081417E0,4.687500000E1
7.885748083E0,4.687500000E1
7.928414750E0,1.640625000E2
7.971081417E0,4.687500000E1
8.013748083E0,4.687500000E1
8.056414750E0,4.687500000E1
8.099081417E0,7.031250000E1
8.141748083E0,4.687500000E1
8.184414750E0,4.687500000E1
8.277618708E0,4.687500000E1
8.320285375E0,4.687500000E1
8.362952042E0,4.687500000E1
8.487738458E0,4.687500000E1
8.590179708E0,4.687500000E1
8.632846375E0,4.687500000E1
8.675513042E0,4.687500000E1
8.718179708E0,7.031250000E1
8.760846375E0,4.687500000E1
8.803513042E0,4.687500000E1
8.846179708E0,4.687500000E1
8.888846375E0,4.687500000E1
8.931513042E0,4.687500000E1
8.974179708E0,4.687500000E1
9.127745000E0,4.687500000E1
9.170411667E0,4.687500000E1
9.245544708E0,4.687500000E1
9.315587708E0,4.687500000E1
9.358254375E0,4.687500000E1
9.400921042E0,7.031250000E1
9.443587708E0,7.031250000E1
9.486254375E0,7.031250000E1
9.528921042E0,7.031250000E1
9.571587708E0,4.687500000E1
9.669868042E0,7.031250000E1
9.712534708E0,4.687500000E1
9.755201375E0,7.031250000E1
9.797868042E0,7.031250000E1
9.851664625E0,7.031250000E1
9.990476167E0,4.687500000E1
1.003314283E1,4.687500000E1
1.007580950E1,7.031250000E1
1.011847617E1,4.687500000E1
1.016114283E1,4.687500000E1
1.022196250E1,7.031250000E1
1.026462917E1,4.687500000E1
1.030729583E1,7.031250000E1
1.034996250E1,4.687500000E1
1.039262917E1,7.031250000E1
1.043529583E1,7.031250000E1
1.047796250E1,7.031250000E1
1.052062917E1,4.687500000E1
1.058443579E1,4.687500000E1
1.062710246E1,4.687500000E1
1.066976913E1,4.687500000E1
1.071243579E1,4.687500000E1
1.075510246E1,4.687500000E1
1.087427246E1,4.687500000E1
1.091693913E1,4.687500000E1
1.095960579E1,4.687500000E1
1.100227246E1,4.687500000E1
1.110172138E1,4.687500000E1
1.117773058E1,4.687500000E1
1.122039725E1,4.687500000E1
1.126306392E1,4.687500000E1
1.130573058E1,4.687500000E1
1.134839725E1,4.687500000E1
1.139106392E1,4.687500000E1
1.143373058E1,7.031250000E1
1.147639725E1,4.687500000E1
1.151906392E1,4.687500000E1
1.156173058E1,4.687500000E1
1.160439725E1,4.687500000E1
1.164706392E1,4.687500000E1
1.168973058E1,7.031250000E1
1.173239725E1,4.687500000E1
1.177506392E1,4.687500000E1
1.181773058E1,4.687500000E1
1.186039725E1,4.687500000E1
1.190306392E1,4.687500000E1
1.194573058E1,4.687500000E1
1.198839725E1,4.687500000E1
1.203106392E1,4.687500000E1
1.207373058E1,4.687500000E1
1.211639725E1,4.687500000E1
1.215906392E1,4.687500000E1
1.220173058E1,4.687500000E1
1.224439725E1,4.687500000E1
1.228706392E1,4.687500000E1
1.232973058E1,4.687500000E1
1.237239725E1,4.687500000E1
1.243710746E1,4.687500000E1
1.247977413E1,4.687500000E1
1.252244079E1,4.687500000E1
1.259731033E1,4.687500000E1
1.263997700E1,4.687500000E1
1.268264367E1,4.687500000E1
1.272531033E1,4.687500000E1
1.279452079E1,4.687500000E1
1.283718746E1,4.687500000E1
1.287985413E1,1.171875000E2
1.294308425E1,4.687500000E1
1.298575092E1,7.031250000E1
1.303046508E1,7.031250000E1
1.307313175E1,7.031250000E1
1.314055242E1,7.031250000E1
1.320383846E1,7.031250000E1
1.324650513E1,7.031250000E1
1.331804196E1,7.031250000E1
1.336070863E1,1.171875000E2
1.340337529E1,7.031250000E1
1.344604196E1,7.031250000E1
1.352224446E1,9.375000000E1
1.366043450E1,7.031250000E1
1.370310117E1,7.031250000E1
1.378514963E1,7.031250000E1
1.392736588E1,7.031250000E1
1.397003254E1,7.031250000E1
1.408339150E1,7.031250000E1
1.415363625E1,4.687500000E1
1.419630292E1,7.031250000E1
1.426726450E1,7.031250000E1
1.430993117E1,7.031250000E1
1.435259783E1,4.687500000E1
1.439526450E1,4.687500000E1
1.443793117E1,7.031250000E1
1.448059783E1,7.031250000E1
1.452326450E1,4.687500000E1
1.456593117E1,4.687500000E1
1.460859783E1,7.031250000E1
1.465126450E1,4.687500000E1
1.469393117E1,4.687500000E1
1.473659783E1,4.687500000E1
1.477926450E1,4.687500000E1
1.482193117E1,4.687500000E1
1.486459783E1,4.687500000E1
1.490726450E1,4.687500000E1
1.494993117E1,4.687500000E1
1.499259783E1,4.687500000E1
1.503526450E1,4.687500000E1
1.507793117E1,4.687500000E1
1.512059783E1,4.687500000E1
1.516326450E1,4.687500000E1
1.520593117E1,4.687500000E1
1.524859783E1,7.031250000E1
1.529126450E1,7.031250000E1
1.533393117E1,4.687500000E1
1.537659783E1,4.687500000E1
1.549152904E1,4.687500000E1
1.553419571E1,7.031250000E1
1.559014575E1,7.031250000E1
1.563281242E1,7.031250000E1
1.574867288E1,4.687500000E1
1.581120488E1,4.687500000E1
1.585387154E1,4.687500000E1
1.589653821E1,4.687500000E1
1.593920488E1,4.687500000E1
1.598187154E1,4.687500000E1
1.602453821E1,4.687500000E1
1.606720488E1,4.687500000E1
1.610987154E1,4.687500000E1
1.615253821E1,4.687500000E1
1.620255100E1,4.687500000E1
1.626544583E1,4.687500000E1
1.630811250E1,7.031250000E1
1.635077917E1,7.031250000E1
1.642302250E1,7.031250000E1
1.646568917E1,7.031250000E1
1.650835583E1,2.343750000E1
1.655102250E1,7.031250000E1
1.661639508E1,7.031250000E1
1.665906175E1,7.031250000E1
1.670172842E1,7.031250000E1
1.674439508E1,4.687500000E1
1.678706175E1,7.031250000E1
1.685015629E1,4.687500000E1
1.691943725E1,7.031250000E1
1.696210392E1,7.031250000E1
1.713515004E1,7.031250000E1
1.717781671E1,7.031250000E1
1.722048338E1,7.031250000E1
1.726315004E1,7.031250000E1
1.730581671E1,7.031250000E1
1.734848338E1,4.687500000E1
1.739115004E1,7.031250000E1
1.743381671E1,7.031250000E1
1.747648338E1,7.031250000E1
1.751915004E1,4.687500000E1
1.756181671E1,4.687500000E1
1.760448338E1,4.687500000E1
1.764715004E1,4.687500000E1
1.768981671E1,7.031250000E1
1.773248338E1,4.687500000E1
1.777515004E1,7.031250000E1
1.784995517E1,4.687500000E1
1.798772000E1,7.031250000E1
1.803038667E1,7.031250000E1
1.810755888E1,4.687500000E1
1.815022554E1,4.687500000E1
1.824905367E1,4.687500000E1
1.829172033E1,4.687500000E1
1.836409517E1,4.687500000E1
1.850701517E1,4.687500000E1
1.854968183E1,4.687500000E1
1.859234850E1,4.687500000E1
1.863501517E1,4.687500000E1
1.867768183E1,4.687500000E1
1.872034850E1,7.031250000E1
1.876301517E1,7.031250000E1
1.886387638E1,4.687500000E1
1.890654304E1,4.687500000E1
1.894920971E1,4.687500000E1
1.899187638E1,4.687500000E1
1.903454304E1,4.687500000E1
1.907720971E1,7.031250000E1
1.911987638E1,4.687500000E1
1.916254304E1,7.031250000E1
1.920520971E1,7.031250000E1
1.924787638E1,4.687500000E1
1.929054304E1,4.687500000E1
1.933320971E1,4.687500000E1
1.938048008E1,4.687500000E1
1.942314675E1,4.687500000E1
1.946581342E1,4.687500000E1
1.950848008E1,4.687500000E1
1.955114675E1,4.687500000E1
1.959381342E1,4.687500000E1
1.963648008E1,4.687500000E1
1.967914675E1,4.687500000E1
1.981245121E1,4.687500000E1
1.985511788E1,4.687500000E1
1.989778454E1,4.687500000E1
1.994045121E1,4.687500000E1
1.998311788E1,4.687500000E1
2.003938117E1,4.687500000E1
2.008204783E1,7.031250000E1
2.012872571E1,4.687500000E1
2.017139238E1,4.687500000E1
2.027258563E1,7.031250000E1
2.031525229E1,4.687500000E1
2.042649013E1,4.687500000E1
2.046915679E1,4.687500000E1
2.053205833E1,4.687500000E1
2.057472500E1,1.640625000E2
2.071697004E1,1.875000000E2
2.075963671E1,7.031250000E1
2.080230338E1,7.031250000E1
2.084497004E1,7.031250000E1
2.088763671E1,7.031250000E1
2.094558858E1,4.687500000E1
2.098825525E1,7.031250000E1
2.103092192E1,4.687500000E1
2.115401921E1,7.031250000E1
2.119668588E1,4.687500000E1
2.123935254E1,7.031250000E1
2.128405996E1,7.031250000E1
2.132672663E1,4.687500000E1
2.142694375E1,4.687500000E1
2.146961042E1,7.031250000E1
2.151227708E1,7.031250000E1
2.155494375E1,7.031250000E1
2.159761042E1,1.171875000E2
2.164027708E1,7.031250000E1
2.168294375E1,7.031250000E1
2.172561042E1,7.031250000E1
2.176827708E1,7.031250000E1
2.181094375E1,7.031250000E1
2.185361042E1,7.031250000E1
2.189627708E1,4.687500000E1
2.193894375E1,4.687500000E1
2.198161042E1,4.687500000E1
2.202427708E1,4.687500000E1
2.206694375E1,4.687500000E1
2.210961042E1,7.031250000E1
2.215227708E1,7.031250000E1
2.219494375E1,7.031250000E1
2.223761042E1,7.031250000E1
2.228027708E1,7.031250000E1
2.232294375E1,7.031250000E1
2.236561042E1,7.031250000E1
2.240827708E1,4.687500000E1
2.245094375E1,7.031250000E1
2.249361042E1,4.687500000E1
2.253923388E1,4.687500000E1
2.258190054E1,4.687500000E1
2.262665921E1,7.031250000E1
2.266932588E1,7.031250000E1
2.271199254E1,4.687500000E1
2.275465921E1,4.687500000E1
2.279732588E1,4.687500000E1
2.283999254E1,4.687500000E1
2.289444192E1,7.031250000E1
2.293710858E1,7.031250000E1
2.297977525E1,7.031250000E1
2.302244192E1,4.687500000E1
2.306510858E1,7.031250000E1
2.316312633E1,4.687500000E1
2.320579300E1,4.687500000E1
2.324845967E1,4.687500000E1
2.329112633E1,4.687500000E1
2.333379300E1,4.687500000E1
2.337645967E1,4.687500000E1
2.341996279E1,4.687500000E1
2.346262946E1,4.687500000E1
2.350529613E1,7.031250000E1
2.354796279E1,7.031250000E1
2.359062946E1,7.031250000E1
2.363329613E1,4.687500000E1
2.367596279E1,7.031250000E1
2.371862946E1,7.031250000E1
2.376129613E1,7.031250000E1
2.380396279E1,4.687500000E1
2.384662946E1,4.687500000E1
2.389222996E1,4.687500000E1
2.393489663E1,7.031250000E1
2.398785413E1,1.640625000E2
2.403052079E1,1.640625000E2
2.415541492E1,9.375000000E1
2.419808158E1,7.031250000E1
2.424074825E1,4.687500000E1
2.431497842E1,1.640625000E2
2.437326938E1,7.031250000E1
2.441593604E1,7.031250000E1
2.445860271E1,7.031250000E1
2.450126938E1,4.687500000E1
2.455510942E1,7.031250000E1
2.459777608E1,4.687500000E1
2.464044275E1,4.687500000E1
2.468310942E1,4.687500000E1
2.472577608E1,4.687500000E1
2.476844275E1,4.687500000E1
2.481110942E1,4.687500000E1
2.485377608E1,4.687500000E1
2.489644275E1,4.687500000E1
2.493910942E1,4.687500000E1
2.498177608E1,4.687500000E1
2.502444275E1,4.687500000E1
2.506710942E1,4.687500000E1
2.510977608E1,4.687500000E1
2.515244275E1,4.687500000E1
2.519510942E1,4.687500000E1
2.523777608E1,4.687500000E1
2.528044275E1,4.687500000E1
2.532310942E1,4.687500000E1
2.536577608E1,7.031250000E1
2.540844275E1,7.031250000E1
2.545110942E1,7.031250000E1
2.549377608E1,4.687500000E1
2.553644275E1,4.687500000E1
2.557910942E1,4.687500000E1
2.563850846E1,4.687500000E1
2.574157758E1,4.687500000E1
2.578424425E1,4.687500000E1
2.582691092E1,4.687500000E1
2.586957758E1,4.687500000E1
2.591224425E1,4.687500000E1
2.595491092E1,4.687500000E1
2.599757758E1,4.687500000E1
2.604024425E1,4.687500000E1
2.608291092E1,4.687500000E1
2.612557758E1,4.687500000E1
2.623685646E1,4.687500000E1
2.630736817E1,4.687500000E1
2.635003483E1,4.687500000E1
2.639270150E1,4.687500000E1
2.643536817E1,4.687500000E1
2.647803483E1,7.031250000E1
2.652070150E1,7.031250000E1
2.656336817E1,4.687500000E1
2.660603483E1,7.031250000E1
2.664870150E1,4.687500000E1
2.669136817E1,4.687500000E1
2.673403483E1,4.687500000E1
2.677670150E1,4.687500000E1
2.681936817E1,4.687500000E1
2.686203483E1,4.687500000E1
2.690470150E1,7.031250000E1
2.694736817E1,7.031250000E1
2.699003483E1,7.031250000E1
2.703270150E1,7.031250000E1
2.707536817E1,7.031250000E1
2.711803483E1,7.031250000E1
2.716070150E1,7.031250000E1
2.720336817E1,7.031250000E1
2.724603483E1,7.031250000E1
2.728870150E1,7.031250000E1
2.733136817E1,7.031250000E1
2.737403483E1,7.031250000E1
2.741670150E1,1.640625000E2
2.745936817E1,7.031250000E1
2.750203483E1,7.031250000E1
2.754470150E1,7.031250000E1
2.758736817E1,7.031250000E1
2.763003483E1,7.031250000E1
2.767270150E1,7.031250000E1
