"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,2.481863796E0
4.687500000E1,2.397907537E1
7.031250000E1,1.927080066E1
9.375000000E1,1.754349253E1
1.171875000E2,7.340152974E0
1.406250000E2,1.859676593E1
1.640625000E2,1.463006321E1
1.875000000E2,4.924440619E0
2.109375000E2,3.485928501E0
2.343750000E2,1.451060280E0
2.578125000E2,1.274316649E0
2.812500000E2,2.651806014E0
3.046875000E2,3.590978373E0
3.281250000E2,5.239132085E0
3.515625000E2,2.338172517E0
3.750000000E2,4.415944863E0
3.984375000E2,9.631298812E-1
4.218750000E2,1.442091384E0
4.453125000E2,7.862328317E-1
4.687500000E2,1.735786148E0
4.921875000E2,1.911892505E0
5.156250000E2,2.169939953E0
5.390625000E2,9.829896771E-1
5.625000000E2,5.383021752E-1
5.859375000E2,9.840365595E-1
6.093750000E2,1.465655522E0
6.328125000E2,1.505135928E0
6.562500000E2,5.044892596E0
6.796875000E2,6.796224812E0
7.031250000E2,8.454349998E0
7.265625000E2,5.833757348E0
7.500000000E2,4.004926041E0
7.734375000E2,3.090065229E0
7.968750000E2,1.636941017E0
8.203125000E2,1.283888641E0
8.437500000E2,1.164087586E0
8.671875000E2,1.197681190E0
8.906250000E2,1.287943482E0
9.140625000E2,2.063559960E0
9.375000000E2,5.866636615E-1
9.609375000E2,1.048761394E0
9.843750000E2,8.908878929E-1
1.007812500E3,5.511020486E-1
1.031250000E3,4.137303548E-1
1.054687500E3,2.358622363E-1
1.078125000E3,3.669756528E-1
1.101562500E3,9.257376974E-1
1.125000000E3,2.048208624E-1
1.148437500E3,7.809268612E-2
1.171875000E3,2.703710567E-2
1.195312500E3,2.411748548E-1
1.218750000E3,2.333149434E-1
1.242187500E3,7.439496712E-2
1.265625000E3,3.750017900E-1
1.289062500E3,3.180856832E-1
1.312500000E3,2.549413924E-1
1.335937500E3,4.775727850E-1
1.359375000E3,2.233795932E-1
1.382812500E3,6.484049737E-1
1.406250000E3,2.955780788E-1
1.429687500E3,2.387639172E-1
1.453125000E3,2.751685091E-1
1.476562500E3,2.239742319E-1
1.500000000E3,3.260094491E-1
1.523437500E3,3.469974073E-1
1.546875000E3,3.895322638E-1
1.570312500E3,8.809957963E-1
1.593750000E3,7.117225406E-1
1.617187500E3,5.685879597E-1
1.640625000E3,6.868644437E-1
1.664062500E3,4.195077171E-1
1.687500000E3,3.299696452E-1
1.710937500E3,5.237141193E-1
1.734375000E3,2.482619632E-1
1.757812500E3,1.860415907E-1
1.781250000E3,2.029764896E-1
1.804687500E3,4.301633565E-1
1.828125000E3,8.589763133E-2
1.851562500E3,1.687207300E-1
1.875000000E3,4.215661665E-1
1.898437500E3,5.108061054E-1
1.921875000E3,4.065356224E-1
1.945312500E3,9.134486640E-2
1.968750000E3,1.515552829E-1
1.992187500E3,2.705275975E-1
2.015625000E3,4.403532386E-1
2.039062500E3,6.588645105E-1
2.062500000E3,2.420038066E-1
2.085937500E3,4.473238431E-1
2.109375000E3,4.515688139E-1
2.132812500E3,3.290838796E-1
2.156250000E3,3.054845278E-1
2.179687500E3,3.265858826E-1
2.203125000E3,5.832710108E-2
2.226562500E3,2.093291226E-1
2.250000000E3,7.750706759E-2
2.273437500E3,2.490754051E-1
2.296875000E3,6.717226439E-2
2.320312500E3,3.303238413E-1
2.343750000E3,5.035299654E-1
2.367187500E3,2.446836488E-1
2.390625000E3,1.339477922E-1
2.414062500E3,4.615552756E-2
2.437500000E3,1.831083833E-1
2.460937500E3,4.593437578E-1
2.484375000E3,1.786695249E-1
2.507812500E3,2.532909967E-1
2.531250000E3,1.687281999E0
2.554687500E3,5.673865725E-1
2.578125000E3,3.188888875E-1
2.601562500E3,6.259152570E-1
2.625000000E3,3.811230371E-1
2.648437500E3,2.108565176E-1
2.671875000E3,2.163958972E-1
2.695312500E3,5.326854340E-1
2.718750000E3,1.175881095E-1
2.742187500E3,1.463905263E-1
2.765625000E3,2.714177915E-1
2.789062500E3,2.660456273E-1
2.812500000E3,1.474594550E-1
2.835937500E3,2.142418870E-1
2.859375000E3,1.238056480E-1
2.882812500E3,1.075004101E-1
2.906250000E3,2.694512305E-1
2.929687500E3,3.412041483E-1
2.953125000E3,9.925598984E-2
2.976562500E3,1.712710195E-1
3.000000000E3,7.096207556E-2
3.023437500E3,2.031806912E-1
3.046875000E3,1.317502792E-1
3.070312500E3,1.824669353E-1
3.093750000E3,1.337985710E-1
3.117187500E3,1.565324637E-1
3.140625000E3,1.427923732E-1
3.164062500E3,1.052604249E-1
3.187500000E3,1.705474003E-1
3.210937500E3,1.220546820E-1
3.234375000E3,1.228293592E-1
3.257812500E3,1.955877839E-1
3.281250000E3,2.780887472E-1
3.304687500E3,5.858640350E-2
3.328125000E3,2.209276197E-1
3.351562500E3,2.571528437E-1
3.375000000E3,1.197399636E-1
3.398437500E3,3.418770503E-1
3.421875000E3,2.384990915E-1
3.445312500E3,2.672289952E-1
3.468750000E3,1.440987246E-1
3.492187500E3,9.720971935E-2
3.515625000E3,1.681056280E-1
3.539062500E3,1.665570834E-1
3.562500000E3,1.363582104E-1
3.585937500E3,5.483635829E-2
3.609375000E3,1.316538876E-2
3.632812500E3,1.214774796E-1
3.656250000E3,1.099867336E-1
3.679687500E3,1.789443221E-1
3.703125000E3,1.567727687E-1
3.726562500E3,5.613746483E-2
3.750000000E3,4.066419726E-2
3.773437500E3,1.045607738E-1
3.796875000E3,1.338425635E-1
3.820312500E3,1.385450688E-1
3.843750000E3,1.624410487E-1
3.867187500E3,2.824259119E-1
3.890625000E3,1.664679832E-1
3.914062500E3,2.089313024E-1
3.937500000E3,1.353046248E-1
3.960937500E3,2.743078358E-2
3.984375000E3,1.592518178E-1
4.007812500E3,2.696100112E-1
4.031250000E3,2.261084264E-1
4.054687500E3,7.059160262E-2
4.078125000E3,1.210401199E-1
4.101562500E3,7.948757182E-2
4.125000000E3,1.598520872E-1
4.148437500E3,8.987754974E-2
4.171875000E3,8.884218203E-2
4.195312500E3,1.121280883E-1
4.218750000E3,1.870672132E-1
4.242187500E3,6.602022696E-2
4.265625000E3,1.594303405E-1
4.289062500E3,1.143136456E-1
4.312500000E3,1.088607667E-1
4.335937500E3,2.652084088E-1
4.359375000E3,1.435781759E-1
4.382812500E3,2.033864429E-1
4.406250000E3,1.332496847E-1
4.429687500E3,1.212668525E-1
4.453125000E3,1.506451621E-1
4.476562500E3,1.470654076E-1
4.500000000E3,1.172092876E-2
4.523437500E3,1.426492450E-1
4.546875000E3,1.512931502E-1
4.570312500E3,8.921285510E-2
4.593750000E3,4.950628087E-2
4.617187500E3,9.809490383E-2
4.640625000E3,8.122216457E-2
4.664062500E3,7.092491680E-2
4.687500000E3,6.908334945E-2
4.710937500E3,2.000331052E-1
4.734375000E3,1.516570139E-1
4.757812500E3,1.387335737E-2
4.781250000E3,5.072112096E-2
4.804687500E3,1.154834949E-1
4.828125000E3,1.092907554E-1
4.851562500E3,2.256677136E-2
4.875000000E3,5.134847042E-2
4.898437500E3,4.377303713E-2
4.921875000E3,1.447621867E-1
4.945312500E3,1.076329916E-1
4.968750000E3,4.134332615E-2
4.992187500E3,8.958775901E-2
5.015625000E3,1.351115251E-1
5.039062500E3,8.658970892E-2
5.062500000E3,1.608983563E-1
5.085937500E3,1.323196731E-1
5.109375000E3,8.932985605E-2
5.132812500E3,7.129604520E-2
5.156250000E3,9.513841905E-3
5.179687500E3,1.266925999E-1
5.203125000E3,1.416285390E-1
5.226562500E3,1.024681482E-1
5.250000000E3,1.682016436E-1
5.273437500E3,3.382858131E-2
5.296875000E3,1.134502281E-1
5.320312500E3,6.040748545E-2
5.343750000E3,9.821890096E-2
5.367187500E3,8.805666717E-2
5.390625000E3,1.182827864E-1
5.414062500E3,1.262324359E-1
5.437500000E3,8.905149474E-2
5.460937500E3,7.885770719E-2
5.484375000E3,1.060375132E-1
5.507812500E3,2.235363177E-1
5.531250000E3,1.631724485E-1
5.554687500E3,1.768806892E-1
5.578125000E3,1.998227033E-1
5.601562500E3,7.453171721E-2
5.625000000E3,1.247302857E-1
5.648437500E3,1.917543338E-1
5.671875000E3,1.413294691E-1
5.695312500E3,5.885080834E-2
5.718750000E3,7.980038646E-2
5.742187500E3,1.330895846E-1
5.765625000E3,1.122889091E-1
5.789062500E3,1.276391369E-1
5.812500000E3,1.023035230E-1
5.835937500E3,4.349827689E-2
5.859375000E3,1.646245352E-2
5.882812500E3,1.131082333E-1
5.906250000E3,3.820017437E-2
5.929687500E3,5.394879304E-2
5.953125000E3,1.523943673E-1
5.976562500E3,1.008787651E-1
6.000000000E3,7.719800840E-2
6.023437500E3,1.396914840E-1
6.046875000E3,5.655981970E-2
6.070312500E3,1.577345358E-1
6.093750000E3,5.864636262E-2
6.117187500E3,1.704521668E-1
6.140625000E3,1.029431285E-1
6.164062500E3,9.050055752E-2
6.187500000E3,1.865708962E-1
6.210937500E3,6.548282608E-2
6.234375000E3,2.223522669E-1
6.257812500E3,3.903838283E-2
6.281250000E3,1.443555221E-1
6.304687500E3,1.215010127E-1
6.328125000E3,8.063504088E-2
6.351562500E3,1.011281717E-1
6.375000000E3,1.136758936E-1
6.398437500E3,1.278391619E-1
6.421875000E3,8.320961471E-2
6.445312500E3,1.281674615E-1
6.468750000E3,2.342387901E-2
6.492187500E3,9.266928709E-2
6.515625000E3,2.125192792E-1
6.539062500E3,1.149867753E-1
6.562500000E3,1.502214561E-1
6.585937500E3,3.479132990E-2
6.609375000E3,6.697466546E-2
6.632812500E3,2.026491324E-2
6.656250000E3,2.931447547E-2
6.679687500E3,1.553675734E-1
6.703125000E3,1.456715333E-1
6.726562500E3,9.494787817E-2
6.750000000E3,7.548894083E-2
6.773437500E3,1.890616960E-1
6.796875000E3,1.084649960E-1
6.820312500E3,6.580971749E-2
6.843750000E3,1.473374923E-1
6.867187500E3,7.164510981E-2
6.890625000E3,6.923934222E-2
6.914062500E3,6.978177105E-2
6.937500000E3,9.809842893E-2
6.960937500E3,8.089850241E-2
6.984375000E3,5.319050129E-2
7.007812500E3,8.927501648E-2
7.031250000E3,7.110632730E-2
7.054687500E3,6.360360277E-2
7.078125000E3,1.057339551E-1
7.101562500E3,8.249277212E-2
7.125000000E3,9.458347373E-2
7.148437500E3,3.671420911E-2
7.171875000E3,1.233717041E-1
7.195312500E3,1.488567083E-1
7.218750000E3,5.387516763E-2
7.242187500E3,8.124755967E-2
7.265625000E3,1.383315458E-1
7.289062500E3,8.089540585E-2
7.312500000E3,1.053675028E-1
7.335937500E3,1.484547932E-1
7.359375000E3,5.628268469E-2
7.382812500E3,1.092967357E-1
7.406250000E3,8.960276326E-2
7.429687500E3,1.501605551E-1
7.453125000E3,8.694457896E-2
7.476562500E3,1.032933033E-1
7.500000000E3,5.062962352E-2
7.523437500E3,1.424899274E-1
7.546875000E3,6.463718226E-2
7.570312500E3,1.575628637E-1
7.593750000E3,5.576905496E-2
7.617187500E3,4.089679592E-2
7.640625000E3,5.457900068E-2
7.664062500E3,7.122191274E-2
7.687500000E3,7.373430808E-2
7.710937500E3,9.341831764E-2
7.734375000E3,4.275512486E-2
7.757812500E3,5.077201857E-2
7.781250000E3,5.507504479E-2
7.804687500E3,6.030789150E-2
7.828125000E3,6.907080880E-2
7.851562500E3,4.767069347E-2
7.875000000E3,3.288305436E-2
7.898437500E3,8.175091583E-2
7.921875000E3,9.527594917E-2
7.945312500E3,8.909438533E-2
7.968750000E3,4.310437178E-2
7.992187500E3,6.886375032E-2
8.015625000E3,1.175423619E-1
8.039062500E3,3.525393029E-2
8.062500000E3,8.237039809E-2
8.085937500E3,4.523424418E-2
8.109375000E3,5.608312797E-2
8.132812500E3,7.690929140E-2
8.156250000E3,3.025587214E-2
8.179687500E3,1.474429022E-2
8.203125000E3,5.374483213E-2
8.226562500E3,5.775729472E-2
8.250000000E3,4.913678176E-2
8.273437500E3,8.821228338E-2
8.296875000E3,8.734991557E-2
8.320312500E3,4.997503194E-2
8.343750000E3,7.279015390E-2
8.367187500E3,9.820040350E-2
8.390625000E3,9.463543320E-2
8.414062500E3,1.916666240E-2
8.437500000E3,5.913708171E-2
8.460937500E3,2.208568064E-2
8.484375000E3,2.791295758E-2
8.507812500E3,9.053777532E-2
8.531250000E3,5.456498890E-2
8.554687500E3,2.800116662E-2
8.578125000E3,1.477550131E-1
8.601562500E3,9.485113182E-2
8.625000000E3,6.155036842E-2
8.648437500E3,9.387939362E-2
8.671875000E3,7.546294383E-2
8.695312500E3,6.116341306E-2
8.718750000E3,7.233653529E-2
8.742187500E3,4.125212643E-2
8.765625000E3,4.100325341E-2
8.789062500E3,1.310610662E-2
8.812500000E3,1.096603350E-1
8.835937500E3,7.886030616E-2
8.859375000E3,5.760029728E-2
8.882812500E3,6.645244031E-2
8.906250000E3,9.803988032E-2
8.929687500E3,2.644190514E-2
8.953125000E3,8.457963418E-3
8.976562500E3,1.401674626E-2
9.000000000E3,3.228697493E-2
9.023437500E3,7.465457116E-2
9.046875000E3,8.756317399E-2
9.070312500E3,1.628563929E-2
9.093750000E3,7.562956257E-2
9.117187500E3,7.742739933E-2
9.140625000E3,8.216433956E-2
9.164062500E3,2.286465874E-2
9.187500000E3,4.396548555E-2
9.210937500E3,7.520103721E-2
9.234375000E3,8.565408972E-2
9.257812500E3,6.540259014E-2
9.281250000E3,1.679982136E-2
9.304687500E3,7.673115801E-2
9.328125000E3,1.016750268E-1
9.351562500E3,9.618910483E-2
9.375000000E3,8.330064045E-2
9.398437500E3,1.021013364E-1
9.421875000E3,5.064440486E-2
9.445312500E3,1.106578283E-1
9.468750000E3,8.087545728E-2
9.492187500E3,5.181857293E-2
9.515625000E3,5.959813034E-2
9.539062500E3,5.047488070E-2
9.562500000E3,1.012663608E-1
9.585937500E3,5.610162893E-2
9.609375000E3,1.077665936E-1
9.632812500E3,1.147728412E-1
9.656250000E3,1.178355534E-1
9.679687500E3,2.363484652E-2
9.703125000E3,6.310230694E-2
9.726562500E3,7.733210434E-2
9.750000000E3,4.309622675E-2
9.773437500E3,9.013542097E-2
9.796875000E3,4.664358183E-2
9.820312500E3,2.051450469E-2
9.843750000E3,4.902769905E-2
9.867187500E3,5.236367095E-2
9.890625000E3,6.865238937E-2
9.914062500E3,4.459485679E-2
9.937500000E3,2.432658338E-2
