"Time (s)","Recording (a.u.)"
0.000000000E0,-1.676202565E-2
2.083333333E-5,-1.407049224E-2
4.166666667E-5,-1.047327742E-2
6.250000000E-5,-5.865280982E-3
8.333333333E-5,-1.180069754E-3
1.041666667E-4,2.345502842E-3
1.250000000E-4,5.530302413E-3
1.458333333E-4,1.031107735E-2
1.666666667E-4,1.586756483E-2
1.875000000E-4,2.012152970E-2
2.083333333E-4,2.359513007E-2
2.291666667E-4,2.703244798E-2
2.500000000E-4,3.075269237E-2
2.708333333E-4,3.451903909E-2
2.916666667E-4,3.636082634E-2
3.125000000E-4,3.667881712E-2
3.333333333E-4,3.738012165E-2
3.541666667E-4,3.898323700E-2
3.750000000E-4,4.141827673E-2
3.958333333E-4,4.286548495E-2
4.166666667E-4,4.258617014E-2
4.375000000E-4,4.196249694E-2
4.583333333E-4,4.111729562E-2
4.791666667E-4,4.037847742E-2
5.000000000E-4,4.008042812E-2
5.208333333E-4,3.909974173E-2
5.416666667E-4,3.727080673E-2
5.625000000E-4,3.583387285E-2
5.833333333E-4,3.512005508E-2
6.041666667E-4,3.441145644E-2
6.250000000E-4,3.377726674E-2
6.458333333E-4,3.304725513E-2
6.666666667E-4,3.158226609E-2
6.875000000E-4,2.971654758E-2
7.083333333E-4,2.727087587E-2
7.291666667E-4,2.411074564E-2
7.500000000E-4,2.100528032E-2
7.708333333E-4,1.849415712E-2
7.916666667E-4,1.668227464E-2
8.125000000E-4,1.458876207E-2
8.333333333E-4,1.126420870E-2
8.541666667E-4,7.265104912E-3
8.750000000E-4,4.432899877E-3
8.958333333E-4,3.043225501E-3
9.166666667E-4,1.225183951E-3
9.375000000E-4,-4.928511917E-4
9.583333333E-4,-1.824378502E-3
9.791666667E-4,-3.379632952E-3
1.000000000E-3,-3.668941092E-3
1.020833333E-3,-3.564458806E-3
1.041666667E-3,-3.576393006E-3
1.062500000E-3,-2.863727510E-3
1.083333333E-3,-2.983099315E-3
1.104166667E-3,-3.253686707E-3
1.125000000E-3,-2.283940790E-3
1.145833333E-3,-1.381755341E-3
1.166666667E-3,-1.635703258E-3
1.187500000E-3,-2.190539613E-3
1.208333333E-3,-1.883791294E-3
1.229166667E-3,-1.423306647E-3
1.250000000E-3,-2.004707349E-4
1.270833333E-3,2.372811083E-3
1.291666667E-3,4.442958161E-3
1.312500000E-3,7.061562501E-3
1.333333333E-3,1.187518239E-2
1.354166667E-3,1.647775248E-2
1.375000000E-3,1.941640303E-2
1.395833333E-3,2.287676930E-2
1.416666667E-3,2.753419057E-2
1.437500000E-3,3.168314323E-2
1.458333333E-3,3.466821834E-2
1.479166667E-3,3.616482019E-2
1.500000000E-3,3.766353428E-2
1.520833333E-3,4.136940837E-2
1.541666667E-3,4.545830935E-2
1.562500000E-3,4.827587306E-2
1.583333333E-3,5.045404285E-2
1.604166667E-3,5.168867856E-2
1.625000000E-3,5.361055955E-2
1.645833333E-3,5.831494555E-2
1.666666667E-3,6.256355345E-2
1.687500000E-3,6.391094625E-2
1.708333333E-3,6.513664126E-2
1.729166667E-3,6.682984531E-2
1.750000000E-3,6.674376875E-2
1.770833333E-3,6.506688148E-2
1.791666667E-3,6.376030296E-2
1.812500000E-3,6.385987997E-2
1.833333333E-3,6.525523961E-2
1.854166667E-3,6.562738121E-2
1.875000000E-3,6.291321665E-2
1.895833333E-3,6.027787179E-2
1.916666667E-3,5.884326622E-2
1.937500000E-3,5.638453364E-2
1.958333333E-3,5.424767733E-2
1.979166667E-3,5.142617226E-2
2.000000000E-3,4.698968306E-2
2.020833333E-3,4.380144924E-2
2.041666667E-3,4.115155339E-2
2.062500000E-3,3.765123338E-2
2.083333333E-3,3.416975588E-2
2.104166667E-3,3.063803539E-2
2.125000000E-3,2.674079314E-2
2.145833333E-3,2.340292186E-2
2.166666667E-3,2.079187892E-2
2.187500000E-3,1.902050897E-2
2.208333333E-3,1.909812167E-2
2.229166667E-3,1.757556573E-2
2.250000000E-3,1.324378327E-2
2.270833333E-3,1.054484583E-2
2.291666667E-3,8.644146845E-3
2.312500000E-3,5.322210025E-3
2.333333333E-3,1.229729271E-3
2.354166667E-3,-2.644879511E-3
2.375000000E-3,-4.810996354E-3
2.395833333E-3,-6.061828695E-3
2.416666667E-3,-7.533317897E-3
