"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,9.111447981E0
4.687500000E1,1.408354682E2
7.031250000E1,8.995357977E1
9.375000000E1,3.452649975E1
1.171875000E2,1.740581183E1
1.406250000E2,2.407744914E1
1.640625000E2,1.693852268E1
1.875000000E2,2.313566527E1
2.109375000E2,7.180683948E0
2.343750000E2,1.225013630E1
2.578125000E2,8.687863785E0
2.812500000E2,1.007669766E0
3.046875000E2,4.261428080E0
3.281250000E2,7.918810196E0
3.515625000E2,8.834884927E0
3.750000000E2,9.215927597E0
3.984375000E2,4.209050270E0
4.218750000E2,2.986391889E0
4.453125000E2,3.561004002E0
4.687500000E2,4.606941584E0
4.921875000E2,6.927523088E0
5.156250000E2,8.638304802E0
5.390625000E2,2.772569831E0
5.625000000E2,3.182643956E0
5.859375000E2,4.303233022E0
6.093750000E2,1.665949398E0
6.328125000E2,2.294974522E0
6.562500000E2,1.968781051E0
6.796875000E2,1.081943805E0
7.031250000E2,2.064454612E0
7.265625000E2,1.296357349E0
7.500000000E2,1.999666153E0
7.734375000E2,7.687843513E-1
7.968750000E2,1.253909853E0
8.203125000E2,3.426605385E-1
8.437500000E2,6.464743851E-1
8.671875000E2,3.478785522E-1
8.906250000E2,1.209484203E0
9.140625000E2,1.383318490E0
9.375000000E2,1.045876143E0
9.609375000E2,6.128888353E-1
9.843750000E2,8.056737443E-1
1.007812500E3,1.544589801E-1
1.031250000E3,1.387333579E0
1.054687500E3,8.607264313E-1
1.078125000E3,1.069552882E0
1.101562500E3,4.672367936E-1
1.125000000E3,9.037686584E-1
1.148437500E3,8.185786728E-1
1.171875000E3,6.785635664E-1
1.195312500E3,7.846395176E-1
1.218750000E3,3.794839574E-1
1.242187500E3,5.572113653E-1
1.265625000E3,5.297019575E-1
1.289062500E3,8.194361021E-1
1.312500000E3,5.350978772E-1
1.335937500E3,6.151890689E-1
1.359375000E3,2.555513672E-1
1.382812500E3,5.648055250E-1
1.406250000E3,5.058099696E-1
1.429687500E3,6.472001879E-1
1.453125000E3,9.503091388E-1
1.476562500E3,3.114023216E-1
1.500000000E3,5.262591238E-1
1.523437500E3,7.870995290E-1
1.546875000E3,7.611836955E-1
1.570312500E3,7.286224801E-1
1.593750000E3,5.268841973E-1
1.617187500E3,3.724808360E-1
1.640625000E3,8.554985528E-1
1.664062500E3,4.588756803E-1
1.687500000E3,2.930707694E-1
1.710937500E3,8.074723728E-1
1.734375000E3,2.620292327E-1
1.757812500E3,7.197149211E-1
1.781250000E3,3.169152004E-1
1.804687500E3,7.377837231E-1
1.828125000E3,5.350302927E-1
1.851562500E3,3.662581613E-1
1.875000000E3,6.188615337E-1
1.898437500E3,7.050072163E-1
1.921875000E3,5.412729248E-1
1.945312500E3,5.052187301E-1
1.968750000E3,3.450277273E-1
1.992187500E3,1.131291648E-1
2.015625000E3,2.893587624E-1
2.039062500E3,3.840602668E-1
2.062500000E3,4.336865736E-1
2.085937500E3,1.636049060E-1
2.109375000E3,7.500241845E-1
2.132812500E3,7.059546884E-2
2.156250000E3,6.179129894E-1
2.179687500E3,7.449496217E-1
2.203125000E3,1.811489816E-1
2.226562500E3,4.477065227E-1
2.250000000E3,9.178096928E-2
2.273437500E3,3.865468013E-1
2.296875000E3,3.350687123E-1
2.320312500E3,7.606735569E-1
2.343750000E3,4.194057890E-1
2.367187500E3,5.238138897E-1
2.390625000E3,9.210271136E-1
2.414062500E3,6.044026388E-1
2.437500000E3,4.165072423E-1
2.460937500E3,4.000332871E-1
2.484375000E3,4.234999377E-1
2.507812500E3,8.436410850E-1
2.531250000E3,4.800201418E-1
2.554687500E3,7.682274604E-1
2.578125000E3,2.893171976E-1
2.601562500E3,9.890377915E-1
2.625000000E3,8.068972077E-2
2.648437500E3,4.273576935E-1
2.671875000E3,8.323283028E-1
2.695312500E3,5.113144289E-1
2.718750000E3,2.546443360E-1
2.742187500E3,7.230225351E-1
2.765625000E3,1.076252626E-1
2.789062500E3,2.035300050E-1
2.812500000E3,2.096607658E-1
2.835937500E3,2.451263646E-1
2.859375000E3,2.695924313E-1
2.882812500E3,1.522786026E-1
2.906250000E3,1.324356288E-1
2.929687500E3,4.871849276E-1
2.953125000E3,4.852715917E-1
2.976562500E3,8.675571596E-2
3.000000000E3,2.872444446E-2
3.023437500E3,4.042688569E-1
3.046875000E3,2.498894824E-1
3.070312500E3,1.043150839E-1
3.093750000E3,3.693859892E-1
3.117187500E3,1.295626279E0
3.140625000E3,2.412272149E-1
3.164062500E3,1.894059706E-1
3.187500000E3,3.782475593E-1
3.210937500E3,2.856983375E-1
3.234375000E3,3.516612579E-1
3.257812500E3,9.014275185E-1
3.281250000E3,2.072171198E-1
3.304687500E3,2.894218840E-1
3.328125000E3,3.420653837E-1
3.351562500E3,5.318038289E-1
3.375000000E3,2.100476660E-1
3.398437500E3,2.742735120E-1
3.421875000E3,2.702697147E-1
3.445312500E3,1.132696123E-1
3.468750000E3,6.566839531E-2
3.492187500E3,2.636162612E-1
3.515625000E3,1.860048894E-1
3.539062500E3,1.839572755E-1
3.562500000E3,2.126977976E-1
3.585937500E3,3.396562516E-1
3.609375000E3,3.269500347E-1
3.632812500E3,1.812680877E-1
3.656250000E3,2.280150663E-1
3.679687500E3,6.140192270E-2
3.703125000E3,1.419407441E-1
3.726562500E3,1.425670848E-1
3.750000000E3,1.768055324E-1
3.773437500E3,2.721227411E-1
3.796875000E3,2.161411308E-1
3.820312500E3,2.296685351E-1
3.843750000E3,2.493063901E-1
3.867187500E3,1.373919055E-1
3.890625000E3,1.274765665E-1
3.914062500E3,3.242985693E-1
3.937500000E3,2.231555135E-1
3.960937500E3,9.431253557E-2
3.984375000E3,1.939788635E-1
4.007812500E3,1.665837064E-1
4.031250000E3,1.254418305E-1
4.054687500E3,2.996903859E-1
4.078125000E3,2.617115491E-1
4.101562500E3,8.584912822E-2
4.125000000E3,2.511561406E-1
4.148437500E3,1.261411910E-1
4.171875000E3,2.395446713E-1
4.195312500E3,6.704263745E-2
4.218750000E3,6.919920013E-2
4.242187500E3,2.525097416E-1
4.265625000E3,2.286759025E-1
4.289062500E3,7.657581670E-2
4.312500000E3,2.579589319E-2
4.335937500E3,1.309553965E-1
4.359375000E3,7.256291647E-2
4.382812500E3,1.768448833E-1
4.406250000E3,2.445751859E-1
4.429687500E3,3.585906514E-1
4.453125000E3,3.059842184E-1
4.476562500E3,2.594464928E-1
4.500000000E3,1.749765512E-1
4.523437500E3,2.353687403E-1
4.546875000E3,5.008996332E-1
4.570312500E3,4.699098706E-1
4.593750000E3,2.436229240E-1
4.617187500E3,1.135385412E-1
4.640625000E3,3.271753910E-1
4.664062500E3,2.447658688E-1
4.687500000E3,4.052960065E-1
4.710937500E3,5.189255963E-1
4.734375000E3,4.636488062E-1
4.757812500E3,3.090287687E-1
4.781250000E3,2.134267235E-2
4.804687500E3,2.605192454E-1
4.828125000E3,1.660020598E-1
4.851562500E3,2.358656276E-1
4.875000000E3,3.910140863E-1
4.898437500E3,3.850743461E-1
4.921875000E3,2.639882631E-1
4.945312500E3,6.040162571E-2
4.968750000E3,1.783648765E-1
4.992187500E3,1.218249684E-1
5.015625000E3,1.741674355E-1
5.039062500E3,1.738959989E-1
5.062500000E3,2.608140483E-1
5.085937500E3,2.511313503E-1
5.109375000E3,2.499125603E-1
5.132812500E3,2.127769810E-1
5.156250000E3,2.288901156E-1
5.179687500E3,1.322628475E-1
5.203125000E3,2.914328931E-1
5.226562500E3,2.667124527E-1
5.250000000E3,7.935497601E-2
5.273437500E3,1.460616493E-1
5.296875000E3,2.895335095E-1
5.320312500E3,9.939667705E-2
5.343750000E3,1.517318221E-1
5.367187500E3,1.508941371E-1
5.390625000E3,1.381273409E-1
5.414062500E3,1.359733192E-1
5.437500000E3,1.042995758E-1
5.460937500E3,9.077168916E-2
5.484375000E3,3.926140554E-2
5.507812500E3,1.482380368E-1
5.531250000E3,6.326979108E-2
5.554687500E3,1.287084614E-1
5.578125000E3,2.518875759E-1
5.601562500E3,2.059913738E-1
5.625000000E3,1.578595316E-1
5.648437500E3,2.867740289E-1
5.671875000E3,2.998021460E-1
5.695312500E3,1.593814677E-1
5.718750000E3,1.745703576E-1
5.742187500E3,2.168743877E-1
5.765625000E3,1.425438700E-1
5.789062500E3,1.194973303E-1
5.812500000E3,7.412993536E-2
5.835937500E3,1.589132333E-1
5.859375000E3,1.342924389E-1
5.882812500E3,1.263141429E-1
5.906250000E3,1.966993261E-1
5.929687500E3,1.290185301E-1
5.953125000E3,8.844727156E-2
5.976562500E3,1.013483425E-1
6.000000000E3,1.253428267E-1
6.023437500E3,5.338311315E-2
6.046875000E3,1.157209214E-1
6.070312500E3,2.095576103E-1
6.093750000E3,1.159371399E-1
6.117187500E3,1.397440387E-1
6.140625000E3,1.288199042E-1
6.164062500E3,2.316483762E-1
6.187500000E3,1.284853739E-1
6.210937500E3,1.660482622E-1
6.234375000E3,1.225264645E-1
6.257812500E3,1.481080615E-1
6.281250000E3,1.154359577E-1
6.304687500E3,1.149607913E-1
6.328125000E3,1.386294618E-1
6.351562500E3,1.299237174E-1
6.375000000E3,1.024774795E-1
6.398437500E3,1.492089248E-1
6.421875000E3,1.135316915E-1
6.445312500E3,1.540665971E-1
6.468750000E3,1.288047883E-1
6.492187500E3,1.590842500E-1
6.515625000E3,1.716463052E-2
6.539062500E3,2.254664960E-1
6.562500000E3,8.097591718E-2
6.585937500E3,7.693772389E-2
6.609375000E3,2.361801741E-1
6.632812500E3,1.359506815E-1
6.656250000E3,1.491129670E-1
6.679687500E3,1.986060025E-1
6.703125000E3,1.381142580E-1
6.726562500E3,9.176428570E-2
6.750000000E3,2.958067809E-1
6.773437500E3,1.083762208E-1
6.796875000E3,2.229789625E-1
6.820312500E3,1.736554760E-1
6.843750000E3,2.228180829E-1
6.867187500E3,8.613169445E-2
6.890625000E3,2.144089088E-1
6.914062500E3,1.264128967E-1
6.937500000E3,1.665909604E-1
6.960937500E3,4.476124023E-2
6.984375000E3,1.212142733E-1
7.007812500E3,1.657789654E-1
7.031250000E3,1.534850285E-1
7.054687500E3,5.209721245E-2
7.078125000E3,7.514016857E-2
7.101562500E3,1.644115775E-1
7.125000000E3,3.324511889E-2
7.148437500E3,1.590349128E-1
7.171875000E3,9.944443161E-2
7.195312500E3,1.999206551E-1
7.218750000E3,6.606922467E-2
7.242187500E3,1.538697592E-1
7.265625000E3,7.609815240E-2
7.289062500E3,1.439990728E-1
7.312500000E3,1.170616332E-1
7.335937500E3,8.653366516E-2
7.359375000E3,4.365065204E-2
7.382812500E3,8.534589672E-2
7.406250000E3,1.831549504E-1
7.429687500E3,1.372648893E-1
7.453125000E3,7.995895103E-2
7.476562500E3,1.212251360E-1
7.500000000E3,1.156275645E-1
7.523437500E3,1.013694797E-1
7.546875000E3,1.391478039E-1
7.570312500E3,1.830526605E-1
7.593750000E3,1.589871610E-1
7.617187500E3,6.992106905E-2
7.640625000E3,1.455430225E-1
7.664062500E3,4.516783046E-2
7.687500000E3,8.827762792E-2
7.710937500E3,8.874119837E-2
7.734375000E3,2.766115582E-2
7.757812500E3,9.020626047E-2
7.781250000E3,7.763427233E-2
7.804687500E3,1.330859304E-1
7.828125000E3,1.355058492E-1
7.851562500E3,1.603703663E-1
7.875000000E3,9.797058704E-2
7.898437500E3,2.188155164E-1
7.921875000E3,9.768669109E-2
7.945312500E3,8.639233609E-2
7.968750000E3,8.064471937E-2
