"Time (s)","Peak-Frequency"
2.550781667E-1,4.687500000E1
2.977448333E-1,7.031250000E1
4.635382917E-1,7.031250000E1
6.134405000E-1,7.031250000E1
6.561071667E-1,7.031250000E1
6.987738333E-1,7.031250000E1
7.448380833E-1,4.687500000E1
7.875047500E-1,7.031250000E1
9.005424583E-1,4.687500000E1
9.432091250E-1,7.031250000E1
1.015592500E0,9.375000000E1
1.058259167E0,2.109375000E2
1.154587375E0,7.031250000E1
1.197254042E0,7.031250000E1
1.239920708E0,4.687500000E1
1.282587375E0,2.109375000E2
1.342902583E0,9.375000000E1
1.385569250E0,7.031250000E1
1.428235917E0,9.375000000E1
1.470902583E0,7.031250000E1
1.513569250E0,4.687500000E1
1.556235917E0,7.031250000E1
1.598902583E0,4.687500000E1
1.641569250E0,2.109375000E2
1.684235917E0,2.109375000E2
1.726902583E0,7.031250000E1
1.769569250E0,1.171875000E2
1.812235917E0,7.031250000E1
1.854902583E0,7.031250000E1
1.897569250E0,9.375000000E1
1.940235917E0,4.687500000E1
1.982902583E0,7.031250000E1
2.025569250E0,7.031250000E1
2.068235917E0,7.031250000E1
2.110902583E0,7.031250000E1
2.153569250E0,7.031250000E1
2.196235917E0,7.031250000E1
2.238902583E0,7.031250000E1
2.281569250E0,2.109375000E2
2.324235917E0,1.171875000E2
2.366902583E0,1.171875000E2
2.409569250E0,2.343750000E2
2.452235917E0,7.031250000E1
2.507443250E0,7.031250000E1
2.682083208E0,2.109375000E2
2.724749875E0,4.687500000E1
2.767416542E0,4.687500000E1
2.810083208E0,9.375000000E1
2.852749875E0,7.031250000E1
2.895416542E0,4.687500000E1
2.938083208E0,7.031250000E1
2.980749875E0,7.031250000E1
3.023416542E0,7.031250000E1
3.094996125E0,7.031250000E1
3.137662792E0,7.031250000E1
3.180329458E0,4.687500000E1
3.222996125E0,4.687500000E1
3.265662792E0,7.031250000E1
3.308329458E0,7.031250000E1
3.350996125E0,2.343750000E1
3.404040500E0,4.687500000E1
3.474788083E0,7.031250000E1
3.517454750E0,4.687500000E1
3.560121417E0,7.031250000E1
3.602788083E0,7.031250000E1
3.645454750E0,2.343750000E1
3.688121417E0,4.687500000E1
3.730788083E0,7.031250000E1
3.773454750E0,1.640625000E2
3.816121417E0,7.031250000E1
3.858788083E0,4.687500000E1
3.901454750E0,4.687500000E1
3.944121417E0,7.031250000E1
3.986788083E0,4.687500000E1
4.029454750E0,4.687500000E1
4.072121417E0,7.031250000E1
4.185998208E0,4.687500000E1
4.228664875E0,7.031250000E1
4.308061375E0,2.343750000E2
4.446139000E0,7.031250000E1
4.488805667E0,4.687500000E1
4.531472333E0,4.687500000E1
4.574139000E0,1.171875000E2
4.616805667E0,7.031250000E1
4.712316750E0,7.031250000E1
4.754983417E0,9.375000000E1
4.889207792E0,7.031250000E1
4.931874458E0,2.109375000E2
4.974541125E0,7.031250000E1
5.055257375E0,1.640625000E2
5.153400500E0,2.109375000E2
5.196067167E0,2.109375000E2
5.266518250E0,7.031250000E1
5.403193458E0,7.031250000E1
5.445860125E0,9.375000000E1
5.488526792E0,7.031250000E1
5.531193458E0,4.687500000E1
5.573860125E0,4.687500000E1
5.616526792E0,4.687500000E1
5.659193458E0,4.687500000E1
5.710184000E0,7.031250000E1
5.752850667E0,9.375000000E1
5.819554708E0,2.343750000E1
5.958219792E0,1.406250000E2
6.029397583E0,4.687500000E1
6.072064250E0,4.687500000E1
6.141752792E0,7.031250000E1
6.184419458E0,4.687500000E1
6.227086125E0,4.687500000E1
