"Time (s)","Peak-Frequency"
2.484343333E-1,4.687500000E1
2.911010000E-1,7.031250000E1
3.481554583E-1,7.031250000E1
3.908221250E-1,7.031250000E1
4.620898333E-1,9.375000000E1
5.411035833E-1,7.031250000E1
6.449774167E-1,7.031250000E1
8.193151667E-1,7.031250000E1
8.619818333E-1,9.375000000E1
9.046485000E-1,4.687500000E1
9.473151667E-1,2.343750000E1
9.899818333E-1,7.031250000E1
1.032648500E0,7.031250000E1
1.075315167E0,1.171875000E2
1.117981833E0,7.031250000E1
1.160648500E0,7.031250000E1
1.203315167E0,7.031250000E1
1.245981833E0,7.031250000E1
1.288648500E0,4.687500000E1
1.331315167E0,7.031250000E1
1.373981833E0,7.031250000E1
1.416648500E0,9.375000000E1
1.459315167E0,7.031250000E1
1.501981833E0,7.031250000E1
1.544648500E0,7.031250000E1
1.587315167E0,7.031250000E1
1.629981833E0,7.031250000E1
1.672648500E0,7.031250000E1
1.715315167E0,7.031250000E1
1.757981833E0,7.031250000E1
1.800648500E0,4.687500000E1
1.843315167E0,7.031250000E1
1.885981833E0,7.031250000E1
1.928648500E0,7.031250000E1
1.971315167E0,7.031250000E1
2.013981833E0,4.687500000E1
2.056648500E0,7.031250000E1
2.099315167E0,7.031250000E1
2.141981833E0,7.031250000E1
2.184648500E0,7.031250000E1
2.227315167E0,7.031250000E1
2.269981833E0,7.031250000E1
2.312648500E0,9.375000000E1
2.355315167E0,7.031250000E1
2.397981833E0,7.031250000E1
2.440648500E0,9.375000000E1
2.483315167E0,7.031250000E1
2.525981833E0,1.171875000E2
2.568648500E0,7.031250000E1
2.611315167E0,7.031250000E1
2.653981833E0,7.031250000E1
2.696648500E0,7.031250000E1
2.739315167E0,7.031250000E1
2.781981833E0,7.031250000E1
2.824648500E0,7.031250000E1
2.867315167E0,7.031250000E1
2.909981833E0,7.031250000E1
2.952648500E0,7.031250000E1
2.995315167E0,7.031250000E1
3.037981833E0,7.031250000E1
3.080648500E0,4.687500000E1
3.123315167E0,4.687500000E1
3.165981833E0,7.031250000E1
3.208648500E0,4.687500000E1
3.251315167E0,7.031250000E1
3.293981833E0,7.031250000E1
3.336648500E0,1.640625000E2
3.379315167E0,7.031250000E1
3.421981833E0,7.031250000E1
3.464648500E0,7.031250000E1
3.507315167E0,7.031250000E1
3.549981833E0,7.031250000E1
3.592648500E0,7.031250000E1
3.635315167E0,7.031250000E1
3.677981833E0,7.031250000E1
3.720648500E0,4.687500000E1
3.763315167E0,4.687500000E1
3.805981833E0,7.031250000E1
3.848648500E0,7.031250000E1
3.891315167E0,9.375000000E1
3.933981833E0,7.031250000E1
3.976648500E0,7.031250000E1
4.019315167E0,7.031250000E1
4.061981833E0,7.031250000E1
4.104648500E0,7.031250000E1
4.147315167E0,1.640625000E2
4.189981833E0,1.640625000E2
4.232648500E0,1.406250000E2
4.275315167E0,7.031250000E1
4.317981833E0,7.031250000E1
4.360648500E0,7.031250000E1
4.403315167E0,7.031250000E1
4.445981833E0,7.031250000E1
4.488648500E0,4.687500000E1
4.531315167E0,1.640625000E2
4.573981833E0,7.031250000E1
4.616648500E0,4.687500000E1
4.659315167E0,4.687500000E1
4.701981833E0,7.031250000E1
4.744648500E0,1.640625000E2
4.787315167E0,1.640625000E2
4.829981833E0,4.687500000E1
4.872648500E0,7.031250000E1
4.915315167E0,7.031250000E1
4.957981833E0,4.687500000E1
5.000648500E0,7.031250000E1
5.043315167E0,7.031250000E1
5.085981833E0,7.031250000E1
5.128648500E0,7.031250000E1
5.171315167E0,1.640625000E2
5.213981833E0,1.406250000E2
5.256648500E0,1.171875000E2
5.299315167E0,7.031250000E1
5.341981833E0,1.406250000E2
5.384648500E0,1.640625000E2
5.427315167E0,4.687500000E1
5.469981833E0,1.640625000E2
5.512648500E0,7.031250000E1
5.555315167E0,4.687500000E1
5.597981833E0,7.031250000E1
5.640648500E0,7.031250000E1
5.683315167E0,7.031250000E1
5.725981833E0,7.031250000E1
5.768648500E0,1.406250000E2
5.811315167E0,7.031250000E1
5.853981833E0,4.687500000E1
5.896648500E0,4.687500000E1
5.939315167E0,1.640625000E2
5.981981833E0,1.406250000E2
6.024648500E0,7.031250000E1
6.067315167E0,4.687500000E1
6.109981833E0,7.031250000E1
6.152648500E0,7.031250000E1
6.195315167E0,1.640625000E2
6.237981833E0,7.031250000E1
6.280648500E0,9.375000000E1
6.323315167E0,7.031250000E1
6.365981833E0,7.031250000E1
6.408648500E0,1.406250000E2
6.451315167E0,7.031250000E1
6.493981833E0,4.687500000E1
6.536648500E0,4.687500000E1
6.579315167E0,7.031250000E1
6.621981833E0,7.031250000E1
6.664648500E0,4.687500000E1
6.707315167E0,7.031250000E1
6.749981833E0,4.687500000E1
6.792648500E0,4.687500000E1
6.835315167E0,7.031250000E1
6.877981833E0,7.031250000E1
6.920648500E0,7.031250000E1
6.963315167E0,7.031250000E1
7.005981833E0,7.031250000E1
7.048648500E0,7.031250000E1
7.091315167E0,1.640625000E2
7.133981833E0,7.031250000E1
7.176648500E0,7.031250000E1
7.219315167E0,7.031250000E1
7.261981833E0,7.031250000E1
7.304648500E0,4.687500000E1
7.347315167E0,1.875000000E2
7.389981833E0,7.031250000E1
7.432648500E0,7.031250000E1
7.475315167E0,7.031250000E1
7.517981833E0,7.031250000E1
7.560648500E0,1.406250000E2
7.603315167E0,9.375000000E1
7.645981833E0,1.406250000E2
7.688648500E0,1.875000000E2
7.731315167E0,1.640625000E2
7.773981833E0,7.031250000E1
7.816648500E0,1.640625000E2
7.859315167E0,7.031250000E1
7.901981833E0,7.031250000E1
7.944648500E0,7.031250000E1
7.987315167E0,7.031250000E1
8.029981833E0,7.031250000E1
8.072648500E0,7.031250000E1
8.115315167E0,7.031250000E1
8.157981833E0,9.375000000E1
8.200648500E0,9.375000000E1
8.243315167E0,1.640625000E2
8.285981833E0,1.640625000E2
8.328648500E0,1.406250000E2
8.371315167E0,1.171875000E2
8.413981833E0,7.031250000E1
8.456648500E0,4.687500000E1
8.499315167E0,7.031250000E1
8.541981833E0,7.031250000E1
8.584648500E0,4.687500000E1
8.627315167E0,7.031250000E1
8.669981833E0,7.031250000E1
8.712648500E0,7.031250000E1
8.755315167E0,7.031250000E1
8.797981833E0,7.031250000E1
8.840648500E0,7.031250000E1
8.883315167E0,7.031250000E1
8.925981833E0,7.031250000E1
8.968648500E0,1.640625000E2
9.011315167E0,7.031250000E1
9.053981833E0,1.640625000E2
9.096648500E0,1.640625000E2
9.139315167E0,1.406250000E2
9.181981833E0,1.640625000E2
9.224648500E0,4.687500000E1
9.267315167E0,1.640625000E2
9.309981833E0,7.031250000E1
9.352648500E0,7.031250000E1
9.395315167E0,7.031250000E1
9.437981833E0,1.640625000E2
9.480648500E0,7.031250000E1
9.523315167E0,7.031250000E1
9.565981833E0,1.640625000E2
9.608648500E0,1.640625000E2
9.651315167E0,1.406250000E2
9.693981833E0,1.640625000E2
9.736648500E0,1.171875000E2
9.779315167E0,7.031250000E1
9.821981833E0,7.031250000E1
9.864648500E0,7.031250000E1
9.907315167E0,1.640625000E2
9.949981833E0,1.640625000E2
