"Time (s)","Recording (a.u.)"
0.000000000E0,-4.198367824E-4
2.083333333E-5,2.225649077E-3
4.166666667E-5,5.168302450E-3
6.250000000E-5,8.652377874E-3
8.333333333E-5,1.316935848E-2
1.041666667E-4,1.893003099E-2
1.250000000E-4,2.545300499E-2
1.458333333E-4,3.134259582E-2
1.666666667E-4,3.550805151E-2
1.875000000E-4,3.804498166E-2
2.083333333E-4,3.977210075E-2
2.291666667E-4,4.137913883E-2
2.500000000E-4,4.269708320E-2
2.708333333E-4,4.372058809E-2
2.916666667E-4,4.509760812E-2
3.125000000E-4,4.705716670E-2
3.333333333E-4,4.936145246E-2
3.541666667E-4,5.202832818E-2
3.750000000E-4,5.565029010E-2
3.958333333E-4,6.020608544E-2
4.166666667E-4,6.505748630E-2
4.375000000E-4,7.046888769E-2
4.583333333E-4,7.673154771E-2
4.791666667E-4,8.328297734E-2
5.000000000E-4,8.930175006E-2
5.208333333E-4,9.417149425E-2
5.416666667E-4,9.779013693E-2
5.625000000E-4,1.005411893E-1
5.833333333E-4,1.028187275E-1
6.041666667E-4,1.045763046E-1
6.250000000E-4,1.061598212E-1
6.458333333E-4,1.079922467E-1
6.666666667E-4,1.092975810E-1
6.875000000E-4,1.095650494E-1
7.083333333E-4,1.097394153E-1
7.291666667E-4,1.110863164E-1
7.500000000E-4,1.132843047E-1
7.708333333E-4,1.147466749E-1
7.916666667E-4,1.157265455E-1
8.125000000E-4,1.181519479E-1
8.333333333E-4,1.223632470E-1
8.541666667E-4,1.261209548E-1
8.750000000E-4,1.274764687E-1
8.958333333E-4,1.275126338E-1
9.166666667E-4,1.280157566E-1
9.375000000E-4,1.290052235E-1
9.583333333E-4,1.297449023E-1
9.791666667E-4,1.300533861E-1
1.000000000E-3,1.306112260E-1
1.020833333E-3,1.315649301E-1
1.041666667E-3,1.321411878E-1
1.062500000E-3,1.322890371E-1
1.083333333E-3,1.327185780E-1
1.104166667E-3,1.337116957E-1
1.125000000E-3,1.349408478E-1
1.145833333E-3,1.359452754E-1
1.166666667E-3,1.359368563E-1
1.187500000E-3,1.344304830E-1
1.208333333E-3,1.325094253E-1
1.229166667E-3,1.313323826E-1
1.250000000E-3,1.305283904E-1
1.270833333E-3,1.295272410E-1
1.291666667E-3,1.289073229E-1
1.312500000E-3,1.292394400E-1
1.333333333E-3,1.295944899E-1
1.354166667E-3,1.289587319E-1
1.375000000E-3,1.276296377E-1
1.395833333E-3,1.259183288E-1
1.416666667E-3,1.234716326E-1
1.437500000E-3,1.204181015E-1
1.458333333E-3,1.175917387E-1
1.479166667E-3,1.153169721E-1
1.500000000E-3,1.130674556E-1
1.520833333E-3,1.102718264E-1
1.541666667E-3,1.072382107E-1
1.562500000E-3,1.045105085E-1
1.583333333E-3,1.016079560E-1
1.604166667E-3,9.820226580E-2
1.625000000E-3,9.421299398E-2
1.645833333E-3,8.949939907E-2
1.666666667E-3,8.508612216E-2
1.687500000E-3,8.109159768E-2
1.708333333E-3,7.638092339E-2
1.729166667E-3,7.164117694E-2
1.750000000E-3,6.851971895E-2
1.770833333E-3,6.730230153E-2
1.791666667E-3,6.704676151E-2
1.812500000E-3,6.679929793E-2
1.833333333E-3,6.594604254E-2
1.854166667E-3,6.436996162E-2
1.875000000E-3,6.248305365E-2
1.895833333E-3,6.017189473E-2
1.916666667E-3,5.709075928E-2
1.937500000E-3,5.307606980E-2
1.958333333E-3,4.858243465E-2
1.979166667E-3,4.481052235E-2
2.000000000E-3,4.157134891E-2
2.020833333E-3,3.841598704E-2
2.041666667E-3,3.599582613E-2
2.062500000E-3,3.439628333E-2
2.083333333E-3,3.382080793E-2
2.104166667E-3,3.440224379E-2
2.125000000E-3,3.544177487E-2
2.145833333E-3,3.620992973E-2
2.166666667E-3,3.594100848E-2
2.187500000E-3,3.451162577E-2
2.208333333E-3,3.209387511E-2
2.229166667E-3,2.871485986E-2
2.250000000E-3,2.558072656E-2
2.270833333E-3,2.417722717E-2
2.291666667E-3,2.448092401E-2
2.312500000E-3,2.543465048E-2
2.333333333E-3,2.606868371E-2
2.354166667E-3,2.537374198E-2
2.375000000E-3,2.276010066E-2
2.395833333E-3,1.948770881E-2
2.416666667E-3,1.702378877E-2
2.437500000E-3,1.486787107E-2
2.458333333E-3,1.218003407E-2
2.479166667E-3,9.414886124E-3
2.500000000E-3,7.278381847E-3
2.520833333E-3,5.597166251E-3
2.541666667E-3,3.835505340E-3
2.562500000E-3,2.158301417E-3
2.583333333E-3,1.780265244E-3
2.604166667E-3,3.780785715E-3
2.625000000E-3,7.737872191E-3
2.645833333E-3,1.253956556E-2
2.666666667E-3,1.737063937E-2
2.687500000E-3,2.165857516E-2
2.708333333E-3,2.508459426E-2
2.729166667E-3,2.722758614E-2
2.750000000E-3,2.770725451E-2
2.770833333E-3,2.703555673E-2
2.791666667E-3,2.644336037E-2
2.812500000E-3,2.646050416E-2
2.833333333E-3,2.657199651E-2
2.854166667E-3,2.619152144E-2
2.875000000E-3,2.503196895E-2
2.895833333E-3,2.423646115E-2
2.916666667E-3,2.590435557E-2
2.937500000E-3,2.986631915E-2
2.958333333E-3,3.418286890E-2
2.979166667E-3,3.761687130E-2
3.000000000E-3,4.015146196E-2
3.020833333E-3,4.304160178E-2
3.041666667E-3,4.680059850E-2
3.062500000E-3,4.989162087E-2
3.083333333E-3,5.138475820E-2
3.104166667E-3,5.246215686E-2
3.125000000E-3,5.446852744E-2
3.145833333E-3,5.721926317E-2
3.166666667E-3,5.948799849E-2
3.187500000E-3,6.042592973E-2
3.208333333E-3,6.036509946E-2
3.229166667E-3,6.015890092E-2
3.250000000E-3,6.005092710E-2
3.270833333E-3,6.007548422E-2
3.291666667E-3,6.076407433E-2
3.312500000E-3,6.229166314E-2
3.333333333E-3,6.399437785E-2
3.354166667E-3,6.555870175E-2
3.375000000E-3,6.745402515E-2
3.395833333E-3,6.951950490E-2
3.416666667E-3,7.080361247E-2
3.437500000E-3,7.159546018E-2
3.458333333E-3,7.342092693E-2
3.479166667E-3,7.676824927E-2
3.500000000E-3,8.073882759E-2
3.520833333E-3,8.418264240E-2
3.541666667E-3,8.677838743E-2
3.562500000E-3,8.920408785E-2
3.583333333E-3,9.142404795E-2
3.604166667E-3,9.281880409E-2
3.625000000E-3,9.393045306E-2
3.645833333E-3,9.542703629E-2
3.666666667E-3,9.701590985E-2
3.687500000E-3,9.800074995E-2
3.708333333E-3,9.780143201E-2
3.729166667E-3,9.689044207E-2
3.750000000E-3,9.628453851E-2
3.770833333E-3,9.630514681E-2
3.791666667E-3,9.708992392E-2
3.812500000E-3,9.829758853E-2
3.833333333E-3,9.896469116E-2
3.854166667E-3,9.899646044E-2
3.875000000E-3,9.884966165E-2
3.895833333E-3,9.855581075E-2
3.916666667E-3,9.807991236E-2
3.937500000E-3,9.759409726E-2
3.958333333E-3,9.724740684E-2
3.979166667E-3,9.661771357E-2
4.000000000E-3,9.564334899E-2
4.020833333E-3,9.565158188E-2
4.041666667E-3,9.694051743E-2
4.062500000E-3,9.742793441E-2
4.083333333E-3,9.570501745E-2
4.104166667E-3,9.288372099E-2
4.125000000E-3,9.086014330E-2
4.145833333E-3,9.009425342E-2
4.166666667E-3,8.936318755E-2
4.187500000E-3,8.817034960E-2
4.208333333E-3,8.736223727E-2
4.229166667E-3,8.652855456E-2
4.250000000E-3,8.483897150E-2
4.270833333E-3,8.344081789E-2
4.291666667E-3,8.366446942E-2
4.312500000E-3,8.520416915E-2
4.333333333E-3,8.674114943E-2
4.354166667E-3,8.702915162E-2
4.375000000E-3,8.597210050E-2
4.395833333E-3,8.426567912E-2
4.416666667E-3,8.210900426E-2
4.437500000E-3,7.944757491E-2
4.458333333E-3,7.640664279E-2
4.479166667E-3,7.281377912E-2
4.500000000E-3,6.874835491E-2
4.520833333E-3,6.484578550E-2
4.541666667E-3,6.125824898E-2
4.562500000E-3,5.769054219E-2
4.583333333E-3,5.403839797E-2
4.604166667E-3,5.032663420E-2
4.625000000E-3,4.673846066E-2
4.645833333E-3,4.358175397E-2
4.666666667E-3,4.084819555E-2
4.687500000E-3,3.775566071E-2
4.708333333E-3,3.327183425E-2
4.729166667E-3,2.759541757E-2
4.750000000E-3,2.173988894E-2
4.770833333E-3,1.617596298E-2
4.791666667E-3,1.189163886E-2
4.812500000E-3,9.788924828E-3
4.833333333E-3,8.800443262E-3
4.854166667E-3,7.766182534E-3
4.875000000E-3,6.285885815E-3
4.895833333E-3,4.175981507E-3
4.916666667E-3,2.024182584E-3
4.937500000E-3,3.433715610E-4
4.958333333E-3,-1.300566946E-4
4.979166667E-3,5.045782309E-4
5.000000000E-3,-2.730963170E-4
5.020833333E-3,-3.052493092E-3
5.041666667E-3,-5.517868325E-3
5.062500000E-3,-6.943170913E-3
5.083333333E-3,-7.877515629E-3
5.104166667E-3,-8.118973114E-3
5.125000000E-3,-7.467192598E-3
5.145833333E-3,-6.422922947E-3
5.166666667E-3,-5.496043712E-3
5.187500000E-3,-4.522263538E-3
5.208333333E-3,-3.583970014E-3
5.229166667E-3,-3.438726068E-3
5.250000000E-3,-4.444844555E-3
5.270833333E-3,-6.272516679E-3
5.291666667E-3,-7.868777961E-3
5.312500000E-3,-7.880537771E-3
5.333333333E-3,-6.541878916E-3
5.354166667E-3,-5.353006069E-3
5.375000000E-3,-4.842855968E-3
5.395833333E-3,-4.793792497E-3
5.416666667E-3,-4.951425362E-3
5.437500000E-3,-4.980854224E-3
5.458333333E-3,-5.103456322E-3
5.479166667E-3,-5.246569868E-3
5.500000000E-3,-4.250169732E-3
5.520833333E-3,-1.638459973E-3
5.541666667E-3,1.850777538E-3
5.562500000E-3,5.510237068E-3
5.583333333E-3,8.879440837E-3
5.604166667E-3,1.204402000E-2
5.625000000E-3,1.544844359E-2
5.645833333E-3,1.884177327E-2
5.666666667E-3,2.205406502E-2
5.687500000E-3,2.527425066E-2
5.708333333E-3,2.784781158E-2
5.729166667E-3,2.923630923E-2
5.750000000E-3,2.990542166E-2
5.770833333E-3,3.049939312E-2
5.791666667E-3,3.186254948E-2
5.812500000E-3,3.478233144E-2
5.833333333E-3,3.902710602E-2
5.854166667E-3,4.378314689E-2
5.875000000E-3,4.867525399E-2
5.895833333E-3,5.349115282E-2
5.916666667E-3,5.764340237E-2
5.937500000E-3,6.079703942E-2
5.958333333E-3,6.340192258E-2
5.979166667E-3,6.607214361E-2
6.000000000E-3,6.895050406E-2
6.020833333E-3,7.227820158E-2
6.041666667E-3,7.655560970E-2
6.062500000E-3,8.140240610E-2
6.083333333E-3,8.608321846E-2
6.104166667E-3,9.059582651E-2
6.125000000E-3,9.498515725E-2
6.145833333E-3,9.925169498E-2
6.166666667E-3,1.032487601E-1
6.187500000E-3,1.061584800E-1
6.208333333E-3,1.078373119E-1
6.229166667E-3,1.092719734E-1
6.250000000E-3,1.107365415E-1
6.270833333E-3,1.118093953E-1
6.291666667E-3,1.127680540E-1
6.312500000E-3,1.143848449E-1
6.333333333E-3,1.173346043E-1
6.354166667E-3,1.214127094E-1
6.375000000E-3,1.255357414E-1
6.395833333E-3,1.292181015E-1
6.416666667E-3,1.322810054E-1
6.437500000E-3,1.346657276E-1
6.458333333E-3,1.372483373E-1
6.479166667E-3,1.403459311E-1
6.500000000E-3,1.431077272E-1
6.520833333E-3,1.450718790E-1
6.541666667E-3,1.465466917E-1
6.562500000E-3,1.479183435E-1
6.583333333E-3,1.491444856E-1
6.604166667E-3,1.499433815E-1
6.625000000E-3,1.502896547E-1
6.645833333E-3,1.502999067E-1
6.666666667E-3,1.498699188E-1
6.687500000E-3,1.492963135E-1
6.708333333E-3,1.491929591E-1
6.729166667E-3,1.490157843E-1
6.750000000E-3,1.479037702E-1
6.770833333E-3,1.460407078E-1
6.791666667E-3,1.440967917E-1
6.812500000E-3,1.429782212E-1
6.833333333E-3,1.428575516E-1
6.854166667E-3,1.428324580E-1
6.875000000E-3,1.423855126E-1
6.895833333E-3,1.411382854E-1
6.916666667E-3,1.387303174E-1
6.937500000E-3,1.360254586E-1
6.958333333E-3,1.339200735E-1
6.979166667E-3,1.317444742E-1
7.000000000E-3,1.285480857E-1
7.020833333E-3,1.245139241E-1
7.041666667E-3,1.209750473E-1
7.062500000E-3,1.191821247E-1
7.083333333E-3,1.180174798E-1
7.104166667E-3,1.151676029E-1
7.125000000E-3,1.107013002E-1
7.145833333E-3,1.064028144E-1
7.166666667E-3,1.035502255E-1
7.187500000E-3,1.025725603E-1
7.208333333E-3,1.024403870E-1
7.229166667E-3,1.013366729E-1
7.250000000E-3,9.887763113E-2
7.270833333E-3,9.650407732E-2
7.291666667E-3,9.563535452E-2
7.312500000E-3,9.588785470E-2
7.333333333E-3,9.580918401E-2
7.354166667E-3,9.499669820E-2
7.375000000E-3,9.440207481E-2
7.395833333E-3,9.456580132E-2
7.416666667E-3,9.435085952E-2
7.437500000E-3,9.278440475E-2
7.458333333E-3,9.054049104E-2
7.479166667E-3,8.801582456E-2
7.500000000E-3,8.494482934E-2
7.520833333E-3,8.191215992E-2
7.541666667E-3,7.976482809E-2
7.562500000E-3,7.826770097E-2
7.583333333E-3,7.649575174E-2
7.604166667E-3,7.424965501E-2
7.625000000E-3,7.197097689E-2
7.645833333E-3,6.996226311E-2
7.666666667E-3,6.841102242E-2
7.687500000E-3,6.694877148E-2
7.708333333E-3,6.446281821E-2
7.729166667E-3,6.016070023E-2
7.750000000E-3,5.475422367E-2
7.770833333E-3,4.964664578E-2
7.791666667E-3,4.509088397E-2
7.812500000E-3,4.083179682E-2
7.833333333E-3,3.723210096E-2
7.854166667E-3,3.426098078E-2
7.875000000E-3,3.110651299E-2
7.895833333E-3,2.781313658E-2
7.916666667E-3,2.500128001E-2
7.937500000E-3,2.175673284E-2
7.958333333E-3,1.720192656E-2
7.979166667E-3,1.232390665E-2
8.000000000E-3,8.405502886E-3
8.020833333E-3,5.969791673E-3
8.041666667E-3,4.432324320E-3
8.062500000E-3,2.902519889E-3
8.083333333E-3,1.576530747E-3
8.104166667E-3,5.819218932E-4
8.125000000E-3,-1.282209763E-3
8.145833333E-3,-5.005759187E-3
8.166666667E-3,-9.605167434E-3
8.187500000E-3,-1.353587583E-2
8.208333333E-3,-1.651117578E-2
8.229166667E-3,-1.926268265E-2
8.250000000E-3,-2.267166786E-2
8.270833333E-3,-2.647699974E-2
8.291666667E-3,-2.992768586E-2
8.312500000E-3,-3.296969831E-2
8.333333333E-3,-3.555147722E-2
8.354166667E-3,-3.793893754E-2
8.375000000E-3,-4.062747955E-2
8.395833333E-3,-4.342364892E-2
8.416666667E-3,-4.574972391E-2
8.437500000E-3,-4.772800952E-2
8.458333333E-3,-5.053658411E-2
8.479166667E-3,-5.428121611E-2
8.500000000E-3,-5.780802667E-2
8.520833333E-3,-6.069399044E-2
8.541666667E-3,-6.260427833E-2
8.562500000E-3,-6.361022592E-2
8.583333333E-3,-6.471109390E-2
8.604166667E-3,-6.599877775E-2
8.625000000E-3,-6.683328748E-2
8.645833333E-3,-6.703647971E-2
8.666666667E-3,-6.714873016E-2
8.687500000E-3,-6.836186349E-2
8.708333333E-3,-7.104101032E-2
8.729166667E-3,-7.443021238E-2
8.750000000E-3,-7.834947109E-2
8.770833333E-3,-8.282645047E-2
8.791666667E-3,-8.699958026E-2
8.812500000E-3,-9.006350487E-2
8.833333333E-3,-9.192061424E-2
8.854166667E-3,-9.295388311E-2
8.875000000E-3,-9.369606525E-2
8.895833333E-3,-9.413670003E-2
8.916666667E-3,-9.386159480E-2
8.937500000E-3,-9.250979125E-2
8.958333333E-3,-9.024564922E-2
8.979166667E-3,-8.848891407E-2
9.000000000E-3,-8.880337328E-2
9.020833333E-3,-9.152501076E-2
9.041666667E-3,-9.561316669E-2
9.062500000E-3,-9.898240864E-2
9.083333333E-3,-1.008755863E-1
9.104166667E-3,-1.026599109E-1
9.125000000E-3,-1.051922143E-1
9.145833333E-3,-1.080688387E-1
9.166666667E-3,-1.105347723E-1
9.187500000E-3,-1.121638864E-1
9.208333333E-3,-1.132988483E-1
9.229166667E-3,-1.146750674E-1
9.250000000E-3,-1.170492098E-1
9.270833333E-3,-1.201640964E-1
