"t (s)","Inclination (deg)","Rotation (deg)"
5.031788750E-1,7.939695619E0,1.758023316E2
1.003129167E0,4.866690596E1,7.333984328E1
1.503078167E0,5.611430365E1,7.214462846E1
2.003027000E0,2.278842500E1,-6.348711650E1
2.502976000E0,4.701212225E1,8.540288695E1
3.002925042E0,1.777635029E0,1.511874854E1
3.502874042E0,4.734532555E0,7.452598731E1
4.002821792E0,5.400174234E0,9.722683346E1
4.502769792E0,2.300020101E1,1.149582962E2
5.002718667E0,1.734775625E1,9.028439825E1
5.502667667E0,1.381548982E1,7.819380624E1
6.002615500E0,1.389858972E1,5.845371532E1
6.502563500E0,1.963407265E1,8.907805409E1
7.002511542E0,1.575076867E1,7.925402573E1
7.502459542E0,1.679964329E1,7.925696137E1
8.002407667E0,1.230881605E1,9.180204374E1
8.502355667E0,1.392866612E1,8.362694330E1
9.002304125E0,1.243095456E1,9.544033203E1
9.502252125E0,1.297024411E1,8.718821870E1
1.000219917E1,8.815263681E0,8.234934904E1
1.050214717E1,1.209777326E1,8.497431278E1
1.100209575E1,1.154910867E1,8.660011273E1
1.150204275E1,1.023661538E1,1.041671471E2
1.200198967E1,1.050193013E1,8.750409663E1
1.250193667E1,1.088322454E1,8.784837527E1
1.300188529E1,1.151149141E1,8.772375100E1
1.350183229E1,1.169985456E1,8.635983749E1
1.400177904E1,1.109307917E1,9.234472446E1
1.500167212E1,1.186874012E1,8.457190281E1
1.550161813E1,1.192844309E1,8.433232504E1
1.600156617E1,1.187465002E1,1.093661914E2
1.650151217E1,3.129282035E0,1.060523520E2
1.700145900E1,6.797574877E0,1.240621540E2
1.750140500E1,4.561588560E0,1.063876411E2
1.800135117E1,7.175461434E0,1.132619840E2
1.850129717E1,6.072600002E0,1.206797187E2
1.900124267E1,7.023787718E0,1.060944748E2
1.950118867E1,6.451507556E0,8.051963756E1
2.000113525E1,4.974415067E0,8.858329639E1
2.050108125E1,6.359986163E0,1.016072045E2
2.100102517E1,6.824150914E0,1.004979851E2
2.150097117E1,6.881052650E0,9.841342680E1
2.200091637E1,6.928412383E0,9.508285529E1
2.250086138E1,7.323005393E0,1.009850174E2
2.300080725E1,7.440055680E0,9.540736832E1
2.350075225E1,7.363231893E0,9.557052272E1
2.400069717E1,7.021296462E0,9.479502638E1
2.450064217E1,6.416673850E0,9.421359702E1
2.500058579E1,6.733567223E0,9.373156107E1
2.550053079E1,6.931235767E0,9.247492675E1
2.600056425E1,7.297277757E0,9.420321206E1
2.650002825E1,7.455999657E0,9.364007281E1
2.700043387E1,7.558586643E0,9.533898813E1
2.750037787E1,9.335354848E0,1.221236055E2
2.800032225E1,7.141336564E0,1.229358770E2
2.850026625E1,8.826426452E0,1.146007339E2
2.900020975E1,8.957273869E0,1.149169261E2
2.950015375E1,8.803486492E0,1.151182734E2
3.050004137E1,9.073994392E0,1.144230972E2
3.100048537E1,9.190157751E0,1.137720465E2
3.150091038E1,9.189352160E0,1.152721796E2
3.200085437E1,9.115213721E0,1.144922381E2
3.250079837E1,9.126793805E0,1.150419814E2
3.300074188E1,8.954878765E0,1.121045423E2
3.350095288E1,8.975865688E0,1.140686889E2
3.400037238E1,9.017316535E0,1.154228942E2
3.449981537E1,9.430976608E0,1.209886513E2
3.499926142E1,9.719217990E0,1.212313873E2
3.549922242E1,1.107814015E1,1.338235264E2
3.599916612E1,1.163391280E1,1.368472153E2
3.649910912E1,1.185860661E1,1.358400361E2
3.699905200E1,1.198465321E1,1.359316296E2
3.749899500E1,1.146377039E1,1.365178652E2
3.799893763E1,1.125552256E1,1.410166255E2
3.849888063E1,1.211395001E1,1.347251162E2
3.899882417E1,1.216795613E1,1.329509676E2
3.949876717E1,1.182904236E1,1.288346596E2
3.999870975E1,1.184071549E1,1.315665504E2
4.049865175E1,1.105819740E1,1.308892354E2
4.099859488E1,1.131828357E1,1.277408570E2
4.149853787E1,1.133335130E1,1.273341050E2
4.199847950E1,1.062049822E1,1.280815303E2
