"t (s)","Inclination (deg)","Rotation (deg)"
5.068300000E-1,3.952811879E1,-1.004400869E1
1.006923458E0,3.482175668E1,-6.298343454E0
1.507016458E0,1.538473402E1,1.304577812E2
2.007107500E0,2.439617464E1,1.252640117E2
2.507198500E0,4.981924514E1,1.032563401E2
2.989786583E0,2.263515883E1,8.598305489E1
3.489877583E0,4.084993750E0,-1.243311974E2
3.989967958E0,4.262529584E0,-1.132630826E2
4.490061958E0,4.159461565E0,-1.002777306E2
4.990157833E0,4.569325331E0,-1.194050723E2
5.490254833E0,4.605326958E0,-1.223861075E2
5.990352750E0,4.308623638E0,-1.109869975E2
6.490451750E0,1.310217225E1,5.551444944E1
6.990553833E0,8.009214717E0,-1.556289778E1
7.490655833E0,5.844793318E0,-6.442524373E1
7.990757583E0,4.029380895E0,3.591360680E-1
8.490858583E0,3.385100459E0,-1.070180553E1
9.190999250E0,4.204970158E0,6.378728361E1
9.691100250E0,3.407835128E0,1.216356662E1
1.019120108E1,3.374845204E0,-2.394301526E0
1.069130008E1,3.551796989E0,-8.306170281E0
1.119139833E1,2.939685901E0,-7.987918020E-1
1.169149633E1,2.289930201E0,-2.454995642E1
1.219159413E1,2.136460283E0,-1.634049463E2
1.269169013E1,4.496137476E0,-1.513992377E2
1.319178746E1,2.524303485E0,-1.293626945E2
1.369188346E1,4.057223638E0,-1.276825137E2
1.419197875E1,1.989187015E0,-1.364761830E2
1.469207375E1,3.294647466E0,-1.006762341E2
1.569226288E1,3.780819420E0,-7.443737295E1
1.619235583E1,2.125511091E0,-5.997530229E1
1.669244883E1,3.131331609E0,-7.374288284E1
1.719254121E1,1.523621289E0,-8.925425664E1
1.769263421E1,3.115972733E0,-9.565217113E1
1.819272671E1,1.023942515E1,-1.473028928E2
1.869281971E1,1.764338576E1,-1.637676831E2
1.919291125E1,9.219266575E0,-7.313069755E1
1.969300225E1,3.196270866E0,-7.701247983E1
2.019309308E1,2.783166160E0,-8.800023628E1
2.069318208E1,2.677022973E0,-7.375613813E1
2.119327121E1,2.528413715E0,-8.702186402E1
2.169335921E1,6.860666598E-1,7.124003808E1
2.219344550E1,3.047426650E0,-9.223240707E1
2.269353150E1,3.498336288E-1,-8.575232639E0
2.319361658E1,3.833049896E0,-1.054403819E2
2.369370058E1,2.393351489E-1,1.648415014E2
2.419378421E1,2.794019458E0,-1.058107527E2
2.469386621E1,1.202375418E0,-8.490456689E1
2.519394771E1,2.743232376E0,-9.860471888E1
2.569402871E1,1.140228500E0,-8.950099949E1
