"t (s)","Inclination (deg)","Rotation (deg)"
5.065098333E-1,5.513501730E0,1.165202435E1
1.006525750E0,5.549739356E0,8.428300954E0
1.506540750E0,5.625827484E0,1.317586868E1
2.006554708E0,5.084274015E0,-1.728400801E0
2.506568708E0,5.987366800E0,3.285250884E0
3.006582500E0,4.572159376E0,-5.289284526E0
3.506595500E0,3.389307797E0,-1.267274633E1
4.006606833E0,4.041547938E0,3.737506735E0
4.506619833E0,4.874223022E0,-8.811397007E0
5.006632208E0,4.872970966E0,-2.759984678E0
5.506644208E0,4.335942592E0,-5.383397775E0
6.006655458E0,4.970051024E0,-1.199967359E1
6.506667458E0,4.728357967E0,-1.223211554E0
7.006679000E0,4.750806518E0,-1.232322969E0
7.506691000E0,4.698537770E0,-5.575878683E0
8.006701125E0,4.399784366E0,4.564394937E-1
8.506712125E0,4.046129422E0,1.734570835E0
9.006726083E0,2.513699851E0,-4.953243265E1
9.506739083E0,5.720809227E1,-1.482732668E2
1.000675250E1,1.362227519E1,7.166827053E1
1.050676850E1,1.055889365E1,1.484940170E2
1.100678421E1,5.473266971E0,-1.232517057E2
1.150680021E1,6.099645811E0,-1.166684264E2
1.200681683E1,6.462730520E0,-1.236218253E2
1.250683383E1,6.319212566E0,-1.225396605E2
1.300684996E1,6.015807945E0,-1.170182244E2
1.400688133E1,5.739672955E0,-1.162942347E2
1.450689833E1,5.376686210E0,-1.041327938E2
1.500691396E1,4.718685759E0,-9.956086054E1
1.550693096E1,4.047184852E0,-1.205291625E2
1.600694746E1,1.834411906E0,6.915908066E1
1.650696446E1,9.058028173E0,2.294979026E1
1.700698037E1,7.014736428E0,-4.708417902E1
1.750699737E1,4.062582472E0,-1.164126992E2
1.800701421E1,1.866819938E1,1.201116223E2
1.850703121E1,6.002065550E0,-7.009353228E1
1.900704621E1,5.122009726E0,-5.889090023E1
1.950706221E1,5.710089095E0,-6.063546801E1
2.000707846E1,5.274047450E0,-6.052662165E1
2.050709446E1,5.037409614E0,-5.815017249E1
2.100711100E1,5.063977892E0,-5.833413707E1
2.150712600E1,5.044686305E0,-5.706642506E1
2.200714046E1,5.026513301E0,-5.673297727E1
2.250715446E1,4.987529145E0,-5.687463991E1
2.300716858E1,5.064604795E0,-5.685625031E1
2.350718158E1,5.067937442E0,-5.721372511E1
2.400719508E1,5.142451645E0,-5.639754900E1
2.450720708E1,4.958689208E0,-5.513818198E1
2.550723121E1,5.047926391E0,-5.552605970E1
2.600724121E1,5.014693825E0,-5.644162735E1
2.650725121E1,5.053058113E0,-5.547182985E1
2.700726300E1,5.067324117E0,-5.579059086E1
2.750727300E1,5.066332952E0,-5.584888763E1
2.800728371E1,5.007571831E0,-5.535162584E1
2.850729371E1,5.017796436E0,-5.515889311E1
2.900730250E1,5.067976694E0,-5.611885494E1
2.950731150E1,4.987239569E0,-5.566978280E1
3.000732196E1,5.008133490E0,-5.550711422E1
3.050733096E1,4.974220955E0,-5.603887226E1
3.100734012E1,5.036053688E0,-5.571651819E1
3.150734912E1,5.009104365E0,-5.479554983E1
3.200735633E1,4.933693055E0,-5.600235295E1
3.250736533E1,4.997248982E0,-5.577757955E1
3.300737412E1,4.977633643E0,-5.575329621E1
3.350738212E1,5.010198467E0,-5.542030926E1
3.400738958E1,5.041343501E0,-5.609249223E1
3.450739758E1,5.038336956E0,-5.687292196E1
3.500740521E1,5.006087423E0,-5.584389515E1
3.550741221E1,5.033680911E0,-5.536931911E1
3.600741833E1,4.987536169E0,-5.586434522E1
3.650742533E1,5.036486377E0,-5.612014735E1
3.700743121E1,5.063140381E0,-5.621013346E1
3.750743821E1,5.015042149E0,-5.543581167E1
3.800744412E1,4.992035441E0,-5.564704500E1
3.850745012E1,5.037086737E0,-5.537051239E1
3.900745621E1,5.141840830E0,-5.451121035E1
3.950746121E1,6.570806046E0,-3.855952612E1
4.000746858E1,8.709615646E0,-2.723712688E1
4.100747771E1,9.114539416E0,-2.545619105E1
4.150748371E1,9.223546232E0,-2.532338119E1
4.200748883E1,9.056262141E0,-2.579787715E1
4.250749383E1,9.141573415E0,-2.594055855E1
4.300749933E1,9.162547998E0,-2.437803227E1
4.350750333E1,9.090416355E0,-2.571496142E1
4.400750696E1,9.003520906E0,-2.586313563E1
4.450751196E1,8.957241793E0,-2.585926197E1
4.500751771E1,9.174243541E0,-2.556257661E1
4.550752171E1,9.001234859E0,-2.568865879E1
4.600752437E1,9.042967537E0,-2.541582653E1
4.650752837E1,9.252840588E0,-2.487891975E1
4.700753171E1,8.859593222E0,-2.647629921E1
4.750753571E1,8.914870188E0,-2.684729411E1
4.800753846E1,8.649112103E0,-2.639051242E1
4.850754146E1,9.077819725E0,-2.610903418E1
4.900754500E1,8.830726542E0,-2.538623929E1
4.950754800E1,8.956925774E0,-2.630277732E1
5.000755100E1,8.848537793E0,-2.586978540E1
5.050755258E1,8.921755382E0,-2.695861505E1
5.100755558E1,9.015628692E0,-2.655502479E1
5.150755821E1,9.149703047E0,-2.754079736E1
5.200756021E1,8.878844197E0,-2.514551987E1
5.250756362E1,9.275396085E0,-3.037331052E1
5.300756662E1,8.676828626E0,-2.497741962E1
5.350756983E1,9.749933633E0,-3.655500512E1
5.400757283E1,8.498479404E0,-2.357286812E1
5.450757558E1,8.905284919E0,-3.034558526E1
5.500757858E1,9.315451697E0,-3.686561761E1
5.550758075E1,9.682821121E0,-3.494897145E1
5.650758750E1,9.320376131E0,-3.590913595E1
5.700759050E1,9.481481900E0,-4.241996628E1
5.750759262E1,9.168954927E0,-4.063172256E1
5.800759462E1,9.059185943E0,-4.221058753E1
5.850759858E1,9.233519424E0,-4.113252886E1
5.900760058E1,9.467977490E0,-4.130274061E1
5.950760283E1,7.322035085E0,-4.563547879E1
6.000760483E1,7.554917962E0,-6.906559047E1
6.050760638E1,5.539671658E0,-8.729575554E1
6.100760737E1,5.202714034E0,-7.615306680E1
6.150760871E1,7.134553596E0,-8.260831639E1
6.200760971E1,5.636790506E0,-8.064009461E1
6.250761287E1,4.372029050E0,-6.037308805E1
6.300761487E1,4.620239111E0,-5.688783770E1
6.350761675E1,5.164209876E0,-5.428342532E1
6.400762075E1,5.371825880E0,-5.744083444E1
6.450762458E1,5.104880442E0,-5.357407778E1
6.500762958E1,5.074123901E0,-5.088854690E1
6.550763571E1,4.932197170E0,-5.544064108E1
6.600764171E1,5.756379165E0,-6.392530964E1
6.650764746E1,4.962755904E0,-5.875066153E1
6.700765446E1,8.931451752E0,3.336613613E1
6.750766200E1,4.113161681E0,1.425468193E2
6.800766800E1,1.450088297E0,-7.473301390E1
6.850767433E1,4.471650283E0,-8.884366781E1
6.900768033E1,1.780370829E0,-1.337405349E1
6.950768696E1,4.421766762E-1,1.175442146E1
7.050769837E1,2.904975303E0,-1.644056208E2
7.100770337E1,3.670825981E0,-1.630696519E2
7.150770796E1,3.550131496E0,-1.688960381E2
7.200771296E1,4.006686007E0,-1.703977889E2
7.250771896E1,4.165875734E0,1.772616440E2
7.300772296E1,5.063784540E0,1.761998115E2
7.350772662E1,4.721290813E0,1.739769206E2
7.400773062E1,4.726280317E0,1.691360470E2
7.450773358E1,5.061262581E0,1.762827853E2
7.500773758E1,5.351123176E0,1.771691536E2
7.550774433E1,5.954041335E0,1.771617731E2
7.600774833E1,4.342894880E0,1.691344261E2
7.650775300E1,4.491481000E0,1.704888627E2
7.700775800E1,3.339612666E0,1.710567107E2
7.750776125E1,3.083913674E0,1.738236901E2
7.800776625E1,3.395353485E0,1.762441455E2
7.850777158E1,3.574840819E0,1.759885317E2
7.900777558E1,3.592248387E0,1.768638339E2
7.950777838E1,4.322828105E0,-1.770764149E2
8.000778238E1,4.214160048E0,-1.795170122E2
8.050778621E1,4.120266148E0,-1.737085614E2
8.100778921E1,3.317487587E0,-1.760249738E2
8.150779158E1,2.468170582E0,-1.680542787E2
8.200779458E1,2.512848179E0,-1.652421117E2
8.300780037E1,3.038395423E0,-1.705211755E2
8.350780275E1,2.547317829E0,-1.656298410E2
8.400780475E1,2.597727315E0,-1.675740571E2
8.450780596E1,2.521353993E0,-1.666958080E2
8.500780796E1,1.880051322E0,-1.603355014E2
8.550780933E1,1.922577565E0,-1.613347507E2
8.600781033E1,1.988483635E0,-1.602569302E2
8.650781158E1,2.061779555E0,-1.578369937E2
8.700781258E1,1.903811096E0,-1.588387402E2
8.750781346E1,2.577991792E0,-1.637870203E2
8.800781446E1,3.369079132E0,-1.682656621E2
8.850781433E1,3.387619493E0,-1.682054426E2
8.900781433E1,3.357608685E0,-1.677058628E2
8.950781496E1,3.354932010E0,-1.689688336E2
9.000781496E1,4.249885193E0,-1.715124707E2
9.050781508E1,4.609956479E0,-1.715383520E2
9.100781508E1,4.811161875E0,-1.708703781E2
9.150781371E1,4.656995165E0,-1.711770294E2
9.200781271E1,4.619165576E0,-1.718327649E2
9.250781387E1,4.677432553E0,-1.704862549E2
9.300781288E1,3.726724347E0,-1.693828485E2
9.350781183E1,3.846755288E0,-1.692680113E2
9.400781083E1,3.772692760E0,-1.678810800E2
9.450780946E1,3.635970590E0,-1.703389545E2
9.500780846E1,3.303400614E0,-1.696113938E2
9.550780675E1,2.429377556E0,-1.628436448E2
9.600780575E1,6.739527130E-1,-7.539811594E1
9.650780358E1,7.342552161E-1,-6.253784200E1
9.700780158E1,7.026474458E-1,-6.420829820E1
9.800779750E1,6.861758284E-1,-6.548271448E1
9.850779483E1,7.157269315E-1,-6.118610415E1
9.900779283E1,7.006645780E-1,-6.307948041E1
9.950779096E1,6.470516462E-1,-6.322507511E1
1.000077890E2,6.172822900E-1,-6.137642317E1
1.005077863E2,6.628408911E-1,-6.449396307E1
1.010077842E2,7.441967879E-1,-6.568545705E1
1.015077818E2,7.073136647E-1,-6.561536988E1
1.020077788E2,7.160091394E-1,-6.587226973E1
1.025077770E2,7.049796046E-1,-6.552042828E1
1.025077770E2,7.049796046E-1,-6.552042828E1
1.032682866E2,7.226118858E-1,-6.675544785E1
1.037687696E2,7.104999409E-1,-6.671724731E1
1.042692881E2,7.294910728E-1,-6.393127234E1
1.047698101E2,7.371048094E-1,-6.595384725E1
1.057708385E2,8.071037990E-1,-6.573790298E1
1.062713197E2,7.416515627E-1,-6.699799436E1
1.067718098E2,7.173576319E-1,-6.002775569E1
1.072723353E2,7.891376089E-1,-6.113860404E1
1.077728533E2,7.614417949E-1,-6.212691752E1
1.082733787E2,7.469442293E-1,-6.428326431E1
1.087739297E2,7.541126340E-1,-6.463468506E1
1.092744859E2,7.582877056E-1,-6.617970068E1
